epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1696950885680,2023-10-10T15:14:45.680000,0.0,-0.01,0.968,-0.084
1696950885760,2023-10-10T15:14:45.760000,0.08,0.0,0.969,-0.11
1696950885840,2023-10-10T15:14:45.840000,0.16,-0.004,0.953,-0.098
1696950885920,2023-10-10T15:14:45.920000,0.24,-0.014,0.899,-0.106
1696950886000,2023-10-10T15:14:46.000000,0.32,-0.024,0.818,-0.154
1696950886080,2023-10-10T15:14:46.080000,0.4,-0.024,0.806,-0.198
1696950886160,2023-10-10T15:14:46.160000,0.48,-0.071,0.85,-0.168
1696950886240,2023-10-10T15:14:46.240000,0.56,-0.101,0.883,-0.206
1696950886320,2023-10-10T15:14:46.320000,0.64,-0.107,0.903,-0.228
1696950886400,2023-10-10T15:14:46.400000,0.72,-0.129,0.921,-0.25
1696950886480,2023-10-10T15:14:46.480000,0.8,-0.151,0.907,-0.211
1696950886560,2023-10-10T15:14:46.560000,0.88,-0.147,0.933,-0.232
1696950886640,2023-10-10T15:14:46.640000,0.96,-0.143,0.933,-0.21
1696950886720,2023-10-10T15:14:46.720000,1.04,-0.115,0.969,-0.19
1696950886800,2023-10-10T15:14:46.800000,1.12,-0.121,1.161,-0.14
1696950886880,2023-10-10T15:14:46.880000,1.2,-0.177,1.506,-0.147
1696950886960,2023-10-10T15:14:46.960000,1.28,-0.171,1.33,-0.142
1696950887040,2023-10-10T15:14:47.040000,1.36,-0.159,0.96,-0.127
1696950887120,2023-10-10T15:14:47.120000,1.44,-0.193,0.929,-0.135
1696950887200,2023-10-10T15:14:47.200000,1.52,-0.191,0.935,-0.188
1696950887280,2023-10-10T15:14:47.280000,1.6,-0.211,0.933,-0.189
1696950887360,2023-10-10T15:14:47.360000,1.68,-0.178,0.94,-0.179
1696950887440,2023-10-10T15:14:47.440000,1.76,-0.19,0.921,-0.15
1696950887520,2023-10-10T15:14:47.520000,1.84,-0.174,0.94,-0.196
1696950887600,2023-10-10T15:14:47.600000,1.92,-0.171,0.939,-0.17
1696950887680,2023-10-10T15:14:47.680000,2.0,-0.146,0.962,-0.215
1696950887760,2023-10-10T15:14:47.760000,2.08,-0.125,0.942,-0.162
1696950887840,2023-10-10T15:14:47.840000,2.16,-0.095,0.967,-0.137
1696950887920,2023-10-10T15:14:47.920000,2.24,-0.071,0.96,-0.104
1696950888000,2023-10-10T15:14:48.000000,2.32,-0.035,0.758,-0.113
1696950888080,2023-10-10T15:14:48.080000,2.4,0.022,0.702,-0.182
1696950888160,2023-10-10T15:14:48.160000,2.48,-0.052,0.87,-0.05
1696950888240,2023-10-10T15:14:48.240000,2.56,-0.034,1.052,-0.114
1696950888320,2023-10-10T15:14:48.320000,2.64,-0.033,0.973,-0.121
1696950888400,2023-10-10T15:14:48.400000,2.72,-0.017,0.958,-0.113
1696950888480,2023-10-10T15:14:48.480000,2.8,-0.006,1.002,-0.136
1696950888560,2023-10-10T15:14:48.560000,2.88,-0.029,0.939,-0.116
1696950888640,2023-10-10T15:14:48.640000,2.96,-0.002,0.828,-0.187
1696950888720,2023-10-10T15:14:48.720000,3.04,-0.037,0.77,-0.177
1696950888800,2023-10-10T15:14:48.800000,3.12,-0.053,0.813,-0.195
1696950888880,2023-10-10T15:14:48.880000,3.2,-0.101,0.858,-0.208
1696950888960,2023-10-10T15:14:48.960000,3.28,-0.118,0.865,-0.202
1696950889040,2023-10-10T15:14:49.040000,3.36,-0.143,0.856,-0.169
1696950889120,2023-10-10T15:14:49.120000,3.44,-0.152,0.893,-0.197
1696950889200,2023-10-10T15:14:49.200000,3.52,-0.158,0.916,-0.184
1696950889280,2023-10-10T15:14:49.280000,3.6,-0.146,0.972,-0.167
1696950889360,2023-10-10T15:14:49.360000,3.68,-0.142,1.193,-0.167
1696950889440,2023-10-10T15:14:49.440000,3.76,-0.219,1.595,-0.119
1696950889520,2023-10-10T15:14:49.520000,3.84,-0.189,1.453,-0.136
1696950889600,2023-10-10T15:14:49.600000,3.92,-0.165,0.978,-0.115
1696950889680,2023-10-10T15:14:49.680000,4.0,-0.193,0.879,-0.128
1696950889760,2023-10-10T15:14:49.760000,4.08,-0.199,0.905,-0.185
1696950889840,2023-10-10T15:14:49.840000,4.16,-0.2,0.906,-0.186
1696950889920,2023-10-10T15:14:49.920000,4.24,-0.202,0.905,-0.163
1696950890000,2023-10-10T15:14:50.000000,4.32,-0.185,0.925,-0.216
1696950890080,2023-10-10T15:14:50.080000,4.4,-0.183,0.936,-0.218
1696950890160,2023-10-10T15:14:50.160000,4.48,-0.172,0.947,-0.178
1696950890240,2023-10-10T15:14:50.240000,4.56,-0.161,0.97,-0.202
1696950890320,2023-10-10T15:14:50.320000,4.64,-0.149,0.965,-0.186
1696950890400,2023-10-10T15:14:50.400000,4.72,-0.124,0.954,-0.156
1696950890480,2023-10-10T15:14:50.480000,4.8,-0.101,0.975,-0.15
1696950890560,2023-10-10T15:14:50.560000,4.88,-0.056,0.801,-0.109
1696950890640,2023-10-10T15:14:50.640000,4.96,-0.023,0.647,-0.125
1696950890720,2023-10-10T15:14:50.720000,5.04,-0.005,0.852,-0.167
1696950890800,2023-10-10T15:14:50.800000,5.12,-0.04,1.096,-0.135
1696950890880,2023-10-10T15:14:50.880000,5.2,-0.015,0.979,-0.149
1696950890960,2023-10-10T15:14:50.960000,5.28,0.002,0.86,-0.178
1696950891040,2023-10-10T15:14:51.040000,5.36,-0.031,0.815,-0.151
1696950891120,2023-10-10T15:14:51.120000,5.44,-0.013,0.792,-0.193
1696950891200,2023-10-10T15:14:51.200000,5.52,-0.061,0.819,-0.211
1696950891280,2023-10-10T15:14:51.280000,5.6,-0.083,0.842,-0.209
