epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1696950885355,2023-10-10T15:14:45.355000,0.0,0.671,0.183,1.037
1696950885395,2023-10-10T15:14:45.395000,0.04,0.366,-0.549,2.073
1696950885435,2023-10-10T15:14:45.435000,0.08,1.402,-0.976,0.854
1696950885475,2023-10-10T15:14:45.475000,0.12,0.61,-0.61,-1.28
1696950885515,2023-10-10T15:14:45.515000,0.16,4.329,-4.512,-2.561
1696950885555,2023-10-10T15:14:45.555000,0.2,4.329,-5.915,-2.622
1696950885595,2023-10-10T15:14:45.595000,0.24,0.305,-1.463,0.549
1696950885635,2023-10-10T15:14:45.635000,0.28,-2.256,-0.671,4.39
1696950885675,2023-10-10T15:14:45.675000,0.32,-2.866,5.671,-3.963
1696950885715,2023-10-10T15:14:45.715000,0.36,3.537,-3.171,-1.524
1696950885755,2023-10-10T15:14:45.755000,0.4,6.524,-6.037,-0.732
1696950885795,2023-10-10T15:14:45.795000,0.44,5.427,-6.829,-3.049
1696950885835,2023-10-10T15:14:45.835000,0.48,4.634,-4.878,-7.744
1696950885875,2023-10-10T15:14:45.875000,0.52,10.244,-4.085,-4.878
1696950885915,2023-10-10T15:14:45.915000,0.56,14.024,0.976,-8.293
1696950885955,2023-10-10T15:14:45.955000,0.6,9.695,5.549,-20.793
1696950885995,2023-10-10T15:14:45.995000,0.64,12.805,-4.878,-16.585
1696950886035,2023-10-10T15:14:46.035000,0.68,25.61,-14.695,-15.183
1696950886075,2023-10-10T15:14:46.075000,0.72,27.073,-13.72,-15.976
1696950886115,2023-10-10T15:14:46.115000,0.76,27.195,-11.951,-16.28
1696950886155,2023-10-10T15:14:46.155000,0.8,20.671,-3.415,-26.829
1696950886195,2023-10-10T15:14:46.195000,0.84,13.902,-2.195,-20.244
1696950886235,2023-10-10T15:14:46.235000,0.88,18.293,-2.439,-17.805
1696950886275,2023-10-10T15:14:46.275000,0.92,16.707,-13.354,-7.622
1696950886315,2023-10-10T15:14:46.315000,0.96,13.171,-6.524,-0.305
1696950886355,2023-10-10T15:14:46.355000,1.0,19.756,-16.951,0.427
1696950886395,2023-10-10T15:14:46.395000,1.04,9.329,-11.951,-0.122
1696950886435,2023-10-10T15:14:46.435000,1.08,6.402,-10.183,3.415
1696950886475,2023-10-10T15:14:46.475000,1.12,-1.463,-12.988,7.805
1696950886515,2023-10-10T15:14:46.515000,1.16,-6.89,-15.244,13.537
1696950886555,2023-10-10T15:14:46.555000,1.2,-6.951,-18.72,8.415
