epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697562734175,2023-10-17T17:12:14.175000,0.0,4.451,-6.098,0.244
1697562734215,2023-10-17T17:12:14.215000,0.04,3.659,-6.037,0.732
1697562734255,2023-10-17T17:12:14.255000,0.08,1.402,-3.902,0.915
1697562734295,2023-10-17T17:12:14.295000,0.12,0.305,-2.195,-0.915
1697562734335,2023-10-17T17:12:14.335000,0.16,-1.463,-1.524,-0.61
1697562734375,2023-10-17T17:12:14.375000,0.2,-2.012,-0.427,-1.098
1697562734415,2023-10-17T17:12:14.415000,0.24,-0.854,-0.61,-1.585
1697562734455,2023-10-17T17:12:14.455000,0.28,-0.671,-1.646,0.61
1697562734495,2023-10-17T17:12:14.495000,0.32,0.976,-2.561,0.793
1697562734535,2023-10-17T17:12:14.535000,0.36,-0.915,-0.305,-0.671
1697562734575,2023-10-17T17:12:14.575000,0.4,-2.866,1.89,-0.793
1697562734615,2023-10-17T17:12:14.615000,0.44,-1.28,-0.793,0.427
1697562734655,2023-10-17T17:12:14.655000,0.48,-0.671,-2.073,0.183
1697562734695,2023-10-17T17:12:14.695000,0.52,0.671,-3.293,0.732
1697562734735,2023-10-17T17:12:14.735000,0.56,-0.061,-3.72,1.524
1697562734775,2023-10-17T17:12:14.775000,0.6,-0.061,-2.134,0.915
1697562734815,2023-10-17T17:12:14.815000,0.64,-0.183,-1.829,0.244
1697562734855,2023-10-17T17:12:14.855000,0.68,-0.305,-2.866,-0.061
1697562734895,2023-10-17T17:12:14.895000,0.72,-0.732,-3.841,1.768
1697562734935,2023-10-17T17:12:14.935000,0.76,-0.366,-1.585,0.305
1697562734975,2023-10-17T17:12:14.975000,0.8,-0.915,-0.305,-0.549
1697562735015,2023-10-17T17:12:15.015000,0.84,-0.427,-2.256,-1.22
1697562735055,2023-10-17T17:12:15.055000,0.88,0.793,-4.878,0.671
1697562735095,2023-10-17T17:12:15.095000,0.92,0.61,-3.537,0.0
1697562735135,2023-10-17T17:12:15.135000,0.96,0.976,-3.78,-0.305
1697562735175,2023-10-17T17:12:15.175000,1.0,0.549,-2.988,-0.244
1697562735215,2023-10-17T17:12:15.215000,1.04,0.183,-2.927,0.0
1697562735255,2023-10-17T17:12:15.255000,1.08,-0.854,-0.793,0.244
1697562735295,2023-10-17T17:12:15.295000,1.12,-0.183,-2.195,0.0
1697562735335,2023-10-17T17:12:15.335000,1.16,0.183,-2.195,0.305
1697562735375,2023-10-17T17:12:15.375000,1.2,-0.61,-2.195,0.427
1697562735415,2023-10-17T17:12:15.415000,1.24,-0.732,-1.707,0.61
1697562735455,2023-10-17T17:12:15.455000,1.28,-0.427,-1.707,-0.183
1697562735495,2023-10-17T17:12:15.495000,1.32,0.671,-3.232,-1.159
1697562735535,2023-10-17T17:12:15.535000,1.36,0.671,-3.841,-1.524
1697562735575,2023-10-17T17:12:15.575000,1.4,1.037,-2.622,-2.195
1697562735615,2023-10-17T17:12:15.615000,1.44,2.012,-3.171,-1.524
1697562735655,2023-10-17T17:12:15.655000,1.48,1.22,-2.256,-0.488
1697562735695,2023-10-17T17:12:15.695000,1.52,0.549,-2.561,0.366
1697562735735,2023-10-17T17:12:15.735000,1.56,-0.732,-1.159,0.427
1697562735775,2023-10-17T17:12:15.775000,1.6,-0.549,-0.488,-0.549
1697562735815,2023-10-17T17:12:15.815000,1.64,0.0,-1.829,-1.159
1697562735855,2023-10-17T17:12:15.855000,1.68,0.427,-2.683,-0.488
1697562735895,2023-10-17T17:12:15.895000,1.72,0.976,-3.171,-0.244
1697562735935,2023-10-17T17:12:15.935000,1.76,2.073,-4.329,-0.427
1697562735975,2023-10-17T17:12:15.975000,1.8,1.585,-4.268,-0.183
1697562736015,2023-10-17T17:12:16.015000,1.84,0.793,-3.293,-1.646
