epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697563459295,2023-10-17T17:24:19.295000,0.0,1.707,-4.024,-0.305
1697563459335,2023-10-17T17:24:19.335000,0.04,1.768,-3.902,-0.061
1697563459375,2023-10-17T17:24:19.375000,0.08,1.22,-2.5,0.671
1697563459415,2023-10-17T17:24:19.415000,0.12,0.244,-1.524,0.0
1697563459455,2023-10-17T17:24:19.455000,0.16,0.0,-1.341,0.366
1697563459495,2023-10-17T17:24:19.495000,0.2,-1.098,-1.037,1.037
1697563459535,2023-10-17T17:24:19.535000,0.24,0.793,-1.22,0.183
1697563459575,2023-10-17T17:24:19.575000,0.28,0.793,-1.951,0.854
1697563459615,2023-10-17T17:24:19.615000,0.32,0.488,-1.159,-0.183
1697563459655,2023-10-17T17:24:19.655000,0.36,0.549,-2.195,-0.122
1697563459695,2023-10-17T17:24:19.695000,0.4,1.402,-2.073,-0.61
1697563459735,2023-10-17T17:24:19.735000,0.44,1.341,-2.866,1.037
1697563459775,2023-10-17T17:24:19.775000,0.48,1.829,-2.195,0.854
1697563459815,2023-10-17T17:24:19.815000,0.52,0.915,-1.22,1.402
1697563459855,2023-10-17T17:24:19.855000,0.56,-0.427,-0.549,1.707
1697563459895,2023-10-17T17:24:19.895000,0.6,0.488,-0.671,0.366
1697563459935,2023-10-17T17:24:19.935000,0.64,1.28,-1.159,0.732
1697563459975,2023-10-17T17:24:19.975000,0.68,1.402,-1.098,0.183
1697563460015,2023-10-17T17:24:20.015000,0.72,2.012,-0.732,-1.28
1697563460055,2023-10-17T17:24:20.055000,0.76,2.805,-2.5,0.0
1697563460095,2023-10-17T17:24:20.095000,0.8,2.5,-3.293,0.793
1697563460135,2023-10-17T17:24:20.135000,0.84,1.707,-2.256,0.976
1697563460175,2023-10-17T17:24:20.175000,0.88,0.976,-1.341,1.22
1697563460215,2023-10-17T17:24:20.215000,0.92,0.427,-1.402,1.524
1697563460255,2023-10-17T17:24:20.255000,0.96,-0.122,-0.976,1.524
1697563460295,2023-10-17T17:24:20.295000,1.0,-0.427,0.488,1.22
1697563460335,2023-10-17T17:24:20.335000,1.04,0.061,0.976,0.122
1697563460375,2023-10-17T17:24:20.375000,1.08,0.732,-1.098,-0.122
1697563460415,2023-10-17T17:24:20.415000,1.12,1.585,-1.037,-0.366
1697563460455,2023-10-17T17:24:20.455000,1.16,1.341,-0.732,-1.037
1697563460495,2023-10-17T17:24:20.495000,1.2,0.732,-3.049,0.976
1697563460535,2023-10-17T17:24:20.535000,1.24,2.866,-3.659,1.098
1697563460575,2023-10-17T17:24:20.575000,1.28,0.549,-3.415,1.28
1697563460615,2023-10-17T17:24:20.615000,1.32,-1.098,-0.915,0.427
1697563460655,2023-10-17T17:24:20.655000,1.36,-1.646,-0.183,0.549
1697563460695,2023-10-17T17:24:20.695000,1.4,0.549,-0.61,-0.732
1697563460735,2023-10-17T17:24:20.735000,1.44,2.012,-3.049,-0.366
1697563460775,2023-10-17T17:24:20.775000,1.48,3.11,-1.829,-1.463
1697563460815,2023-10-17T17:24:20.815000,1.52,4.329,-3.476,-1.524
1697563460855,2023-10-17T17:24:20.855000,1.56,3.049,-3.354,0.793
1697563460895,2023-10-17T17:24:20.895000,1.6,2.012,-0.427,-0.671
1697563460935,2023-10-17T17:24:20.935000,1.64,1.89,-2.744,-0.427
1697563460975,2023-10-17T17:24:20.975000,1.68,1.159,-1.524,0.732
1697563461015,2023-10-17T17:24:21.015000,1.72,-0.671,-0.915,0.915
1697563461055,2023-10-17T17:24:21.055000,1.76,-2.134,1.037,-0.061
1697563461095,2023-10-17T17:24:21.095000,1.8,-1.646,1.402,-0.061
1697563461135,2023-10-17T17:24:21.135000,1.84,0.732,-2.256,0.671
1697563461175,2023-10-17T17:24:21.175000,1.88,3.598,-3.902,-1.402
1697563461215,2023-10-17T17:24:21.215000,1.92,6.524,-1.28,-5.793
1697563461255,2023-10-17T17:24:21.255000,1.96,7.805,1.951,-10.793
1697563461295,2023-10-17T17:24:21.295000,2.0,12.256,-0.549,-12.012
1697563461335,2023-10-17T17:24:21.335000,2.04,14.207,-5.976,-5.366
1697563461375,2023-10-17T17:24:21.375000,2.08,18.902,0.976,-16.037
1697563461415,2023-10-17T17:24:21.415000,2.12,22.073,3.415,-18.354
1697563461455,2023-10-17T17:24:21.455000,2.16,27.744,3.598,-23.537
1697563461495,2023-10-17T17:24:21.495000,2.2,28.11,-5.427,-16.22
1697563461535,2023-10-17T17:24:21.535000,2.24,27.317,-2.012,-11.768
1697563461575,2023-10-17T17:24:21.575000,2.28,24.817,0.488,-12.988
1697563461615,2023-10-17T17:24:21.615000,2.32,19.451,-1.341,-10.427
1697563461655,2023-10-17T17:24:21.655000,2.36,17.256,-2.317,-11.768
1697563461695,2023-10-17T17:24:21.695000,2.4,12.378,-8.232,-5.122
1697563461735,2023-10-17T17:24:21.735000,2.44,7.988,-8.72,1.159
1697563461775,2023-10-17T17:24:21.775000,2.48,4.329,-4.756,3.354
1697563461815,2023-10-17T17:24:21.815000,2.52,1.037,-8.841,1.341
1697563461855,2023-10-17T17:24:21.855000,2.56,-2.256,-9.878,1.951
1697563461895,2023-10-17T17:24:21.895000,2.6,-6.341,-9.817,11.098
1697563461935,2023-10-17T17:24:21.935000,2.64,-7.439,-13.537,18.476
1697563461975,2023-10-17T17:24:21.975000,2.68,-13.963,-10.183,11.037
1697563462015,2023-10-17T17:24:22.015000,2.72,-21.037,-8.78,7.744
1697563462055,2023-10-17T17:24:22.055000,2.76,-24.634,-10.61,14.573
1697563462095,2023-10-17T17:24:22.095000,2.8,-22.195,-15.183,16.463
1697563462135,2023-10-17T17:24:22.135000,2.84,-17.622,-18.78,15.61
1697563462175,2023-10-17T17:24:22.175000,2.88,-22.256,-15.122,15.976
1697563462215,2023-10-17T17:24:22.215000,2.92,-16.707,-10.61,4.878
1697563462255,2023-10-17T17:24:22.255000,2.96,2.744,-1.402,-6.463
1697563462295,2023-10-17T17:24:22.295000,3.0,24.024,-0.366,-5.549
1697563462335,2023-10-17T17:24:22.335000,3.04,40.305,0.732,-1.28
1697563462375,2023-10-17T17:24:22.375000,3.08,37.988,3.841,-1.89
1697563462415,2023-10-17T17:24:22.415000,3.12,22.744,9.329,-14.451
1697563462455,2023-10-17T17:24:22.455000,3.16,9.817,12.073,-25.61
1697563462495,2023-10-17T17:24:22.495000,3.2,7.5,12.683,-26.951
1697563462535,2023-10-17T17:24:22.535000,3.24,8.963,11.524,-20.061
1697563462575,2023-10-17T17:24:22.575000,3.28,7.5,9.085,-13.476
1697563462615,2023-10-17T17:24:22.615000,3.32,1.585,5.854,-14.573
1697563462655,2023-10-17T17:24:22.655000,3.36,-4.207,9.573,-7.012
1697563462695,2023-10-17T17:24:22.695000,3.4,-6.22,11.951,-3.354
1697563462735,2023-10-17T17:24:22.735000,3.44,-8.841,6.22,6.402
1697563462775,2023-10-17T17:24:22.775000,3.48,-13.354,5.793,14.695
1697563462815,2023-10-17T17:24:22.815000,3.52,-21.28,4.451,25.061
1697563462855,2023-10-17T17:24:22.855000,3.56,-29.939,8.11,34.207
1697563462895,2023-10-17T17:24:22.895000,3.6,-31.037,20.0,37.805
1697563462935,2023-10-17T17:24:22.935000,3.64,-16.951,30.183,15.244
1697563462975,2023-10-17T17:24:22.975000,3.68,-10.244,16.585,5.976
1697563463015,2023-10-17T17:24:23.015000,3.72,-1.463,-22.927,12.134
1697563463055,2023-10-17T17:24:23.055000,3.76,10.854,-33.598,2.622
1697563463095,2023-10-17T17:24:23.095000,3.8,9.573,-23.72,7.866
1697563463135,2023-10-17T17:24:23.135000,3.84,14.695,-10.61,9.878
1697563463175,2023-10-17T17:24:23.175000,3.88,5.0,-1.951,6.524
1697563463215,2023-10-17T17:24:23.215000,3.92,-1.707,10.915,-4.024
1697563463255,2023-10-17T17:24:23.255000,3.96,-5.183,7.988,-1.585
1697563463295,2023-10-17T17:24:23.295000,4.0,-2.256,-1.037,-0.061
1697563463335,2023-10-17T17:24:23.335000,4.04,-2.256,-6.585,-2.012
1697563463375,2023-10-17T17:24:23.375000,4.08,-3.293,-4.939,0.183
1697563463415,2023-10-17T17:24:23.415000,4.12,1.22,-4.451,1.341
1697563463455,2023-10-17T17:24:23.455000,4.16,4.756,1.829,-2.744
1697563463495,2023-10-17T17:24:23.495000,4.2,9.207,5.61,-10.732
1697563463535,2023-10-17T17:24:23.535000,4.24,15.427,-0.61,-14.268
1697563463575,2023-10-17T17:24:23.575000,4.28,23.598,1.341,-19.695
1697563463615,2023-10-17T17:24:23.615000,4.32,30.061,-9.207,-23.293
1697563463655,2023-10-17T17:24:23.655000,4.36,27.439,-22.805,-11.159
1697563463695,2023-10-17T17:24:23.695000,4.4,28.049,-13.171,-12.256
1697563463735,2023-10-17T17:24:23.735000,4.44,29.573,-12.256,-12.378
1697563463775,2023-10-17T17:24:23.775000,4.48,20.488,-12.256,-4.146
1697563463815,2023-10-17T17:24:23.815000,4.52,8.841,-11.768,-5.854
1697563463855,2023-10-17T17:24:23.855000,4.56,-7.195,-7.927,-4.329
1697563463895,2023-10-17T17:24:23.895000,4.6,-22.256,-5.0,-10.366
