epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697312127366,2023-10-14T19:35:27.366000,0.0,8.049,-0.122,20.61
1697312127406,2023-10-14T19:35:27.406000,0.04,6.037,2.561,18.354
1697312127446,2023-10-14T19:35:27.446000,0.08,-8.841,23.049,0.854
1697312127486,2023-10-14T19:35:27.486000,0.12,-17.256,21.585,-1.89
1697312127526,2023-10-14T19:35:27.526000,0.16,-2.439,-17.561,-6.524
1697312127566,2023-10-14T19:35:27.566000,0.2,-1.22,-17.012,-10.854
1697312127606,2023-10-14T19:35:27.606000,0.24,-5.915,-5.305,-4.207
1697312127646,2023-10-14T19:35:27.646000,0.28,0.244,-13.293,-0.183
1697312127686,2023-10-14T19:35:27.686000,0.32,2.622,-14.085,-3.963
1697312127726,2023-10-14T19:35:27.726000,0.36,9.634,-21.585,-5.915
1697312127766,2023-10-14T19:35:27.766000,0.4,6.585,-13.049,-1.463
1697312127806,2023-10-14T19:35:27.806000,0.44,2.317,-9.573,0.122
1697312127846,2023-10-14T19:35:27.846000,0.48,7.012,-13.171,-2.866
1697312127886,2023-10-14T19:35:27.886000,0.52,3.659,-4.512,0.549
1697312127926,2023-10-14T19:35:27.926000,0.56,7.195,-4.268,3.659
1697312127966,2023-10-14T19:35:27.966000,0.6,7.195,-4.329,1.951
1697312128006,2023-10-14T19:35:28.006000,0.64,10.854,-6.707,2.744
1697312128046,2023-10-14T19:35:28.046000,0.68,3.902,-1.22,2.622
1697312128086,2023-10-14T19:35:28.086000,0.72,5.305,-4.268,0.183
1697312128126,2023-10-14T19:35:28.126000,0.76,9.329,-2.073,4.512
1697312128166,2023-10-14T19:35:28.166000,0.8,7.012,4.939,0.793
1697312128206,2023-10-14T19:35:28.206000,0.84,5.854,-4.024,1.768
1697312128246,2023-10-14T19:35:28.246000,0.88,3.476,0.061,2.561
1697312128286,2023-10-14T19:35:28.286000,0.92,7.561,-0.793,2.5
1697312128326,2023-10-14T19:35:28.326000,0.96,6.463,1.098,5.915
1697312128366,2023-10-14T19:35:28.366000,1.0,8.232,-1.22,3.293
1697312128406,2023-10-14T19:35:28.406000,1.04,5.244,4.146,3.11
1697312128446,2023-10-14T19:35:28.446000,1.08,5.0,0.488,2.988
1697312128486,2023-10-14T19:35:28.486000,1.12,4.634,3.659,3.78
1697312128526,2023-10-14T19:35:28.526000,1.16,5.915,2.134,2.683
1697312128566,2023-10-14T19:35:28.566000,1.2,7.622,-1.89,3.171
1697312128606,2023-10-14T19:35:28.606000,1.24,12.561,4.756,0.366
1697312128646,2023-10-14T19:35:28.646000,1.28,20.427,-7.805,1.037
1697312128686,2023-10-14T19:35:28.686000,1.32,23.476,7.744,-0.793
1697312128726,2023-10-14T19:35:28.726000,1.36,39.329,-7.073,1.463
1697312128766,2023-10-14T19:35:28.766000,1.4,46.463,-11.463,8.963
1697312128806,2023-10-14T19:35:28.806000,1.44,49.146,-16.341,12.439
1697312128846,2023-10-14T19:35:28.846000,1.48,45.427,6.402,13.902
1697312128886,2023-10-14T19:35:28.886000,1.52,45.488,11.646,17.317
1697312128926,2023-10-14T19:35:28.926000,1.56,46.463,1.037,16.768
1697312128966,2023-10-14T19:35:28.966000,1.6,31.585,-12.683,13.354
1697312129006,2023-10-14T19:35:29.006000,1.64,12.256,-0.427,6.037
1697312129046,2023-10-14T19:35:29.046000,1.68,-4.756,4.024,5.671
1697312129086,2023-10-14T19:35:29.086000,1.72,-7.988,0.61,9.024
1697312129126,2023-10-14T19:35:29.126000,1.76,-12.073,-0.854,5.488
1697312129166,2023-10-14T19:35:29.166000,1.8,-12.256,8.476,3.963
1697312129206,2023-10-14T19:35:29.206000,1.84,-16.037,7.622,-2.805
1697312129246,2023-10-14T19:35:29.246000,1.88,-23.902,15.061,-3.11
1697312129286,2023-10-14T19:35:29.286000,1.92,-32.378,12.378,-6.707
1697312129326,2023-10-14T19:35:29.326000,1.96,-36.22,7.866,-13.963
1697312129366,2023-10-14T19:35:29.366000,2.0,-37.195,7.561,-19.268
1697312129406,2023-10-14T19:35:29.406000,2.04,-29.451,-15.366,-20.854
1697312129446,2023-10-14T19:35:29.446000,2.08,-26.89,-19.268,-11.646
1697312129486,2023-10-14T19:35:29.486000,2.12,-24.024,-20.061,-5.122
1697312129526,2023-10-14T19:35:29.526000,2.16,-21.402,-36.829,-3.841
1697312129566,2023-10-14T19:35:29.566000,2.2,-29.024,-20.427,3.476
1697312129606,2023-10-14T19:35:29.606000,2.24,-35.488,10.488,-1.768
1697312129646,2023-10-14T19:35:29.646000,2.28,-21.402,-3.902,-2.683
1697312129686,2023-10-14T19:35:29.686000,2.32,-10.671,-6.037,-4.878
1697312129726,2023-10-14T19:35:29.726000,2.36,-8.598,-2.378,-3.598
1697312129766,2023-10-14T19:35:29.766000,2.4,-13.354,7.317,-2.5
1697312129806,2023-10-14T19:35:29.806000,2.44,0.305,-9.451,-0.183
1697312129846,2023-10-14T19:35:29.846000,2.48,2.683,-0.671,-1.402
1697312129886,2023-10-14T19:35:29.886000,2.52,3.171,-4.085,1.098
1697312129926,2023-10-14T19:35:29.926000,2.56,-0.061,-1.768,1.341
1697312129966,2023-10-14T19:35:29.966000,2.6,1.585,-3.11,1.037
1697312130006,2023-10-14T19:35:30.006000,2.64,0.183,2.073,0.549
1697312130046,2023-10-14T19:35:30.046000,2.68,0.915,-3.049,1.22
1697312130086,2023-10-14T19:35:30.086000,2.72,-3.841,2.256,0.0
1697312130126,2023-10-14T19:35:30.126000,2.76,-5.061,2.622,0.61
1697312130166,2023-10-14T19:35:30.166000,2.8,-5.122,-3.476,-0.183
1697312130206,2023-10-14T19:35:30.206000,2.84,-3.232,0.122,-18.72
1697312130246,2023-10-14T19:35:30.246000,2.88,3.171,-3.72,-13.11
1697312130286,2023-10-14T19:35:30.286000,2.92,1.951,19.451,5.305
1697312130326,2023-10-14T19:35:30.326000,2.96,-2.866,29.207,-5.122
1697312130366,2023-10-14T19:35:30.366000,3.0,24.024,-13.902,-14.512
1697312130406,2023-10-14T19:35:30.406000,3.04,-35.0,35.122,2.012
1697312130446,2023-10-14T19:35:30.446000,3.08,-17.805,23.11,-2.927
1697312130486,2023-10-14T19:35:30.486000,3.12,-0.854,-5.915,11.89
1697312130526,2023-10-14T19:35:30.526000,3.16,-13.11,27.317,0.671
1697312130566,2023-10-14T19:35:30.566000,3.2,7.012,-21.341,-9.146
1697312130606,2023-10-14T19:35:30.606000,3.24,28.11,-92.073,1.037
1697312130646,2023-10-14T19:35:30.646000,3.28,23.232,-56.768,2.439
1697312130686,2023-10-14T19:35:30.686000,3.32,10.549,2.012,7.622
1697312130726,2023-10-14T19:35:30.726000,3.36,3.171,17.683,9.146
1697312130766,2023-10-14T19:35:30.766000,3.4,-0.305,11.28,9.024
1697312130806,2023-10-14T19:35:30.806000,3.44,0.0,-0.915,11.463
1697312130846,2023-10-14T19:35:30.846000,3.48,-0.671,-5.0,5.732
1697312130886,2023-10-14T19:35:30.886000,3.52,-2.134,-1.646,1.28
1697312130926,2023-10-14T19:35:30.926000,3.56,-0.671,-4.451,5.183
1697312130966,2023-10-14T19:35:30.966000,3.6,-4.878,1.585,3.963
1697312131006,2023-10-14T19:35:31.006000,3.64,-4.024,1.463,1.768
1697312131046,2023-10-14T19:35:31.046000,3.68,-1.098,0.671,2.195
1697312131086,2023-10-14T19:35:31.086000,3.72,-0.854,1.341,0.427
1697312131126,2023-10-14T19:35:31.126000,3.76,-0.183,1.585,-1.951
1697312131166,2023-10-14T19:35:31.166000,3.8,4.939,-4.39,1.402
1697312131206,2023-10-14T19:35:31.206000,3.84,6.524,-4.268,0.915
1697312131246,2023-10-14T19:35:31.246000,3.88,4.451,-1.585,2.317
1697312131286,2023-10-14T19:35:31.286000,3.92,9.573,-7.012,1.585
1697312131326,2023-10-14T19:35:31.326000,3.96,8.476,-0.976,0.671
1697312131366,2023-10-14T19:35:31.366000,4.0,13.171,-0.061,-0.305
1697312131406,2023-10-14T19:35:31.406000,4.04,16.098,-0.549,4.939
1697312131446,2023-10-14T19:35:31.446000,4.08,18.476,3.11,-3.293
1697312131486,2023-10-14T19:35:31.486000,4.12,28.171,3.171,-2.5
1697312131526,2023-10-14T19:35:31.526000,4.16,29.573,7.561,-3.72
1697312131566,2023-10-14T19:35:31.566000,4.2,48.049,10.915,-5.061
1697312131606,2023-10-14T19:35:31.606000,4.24,64.634,-15.732,-0.122
