epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1696955064906,2023-10-10T16:24:24.906000,0.0,0.61,6.28,-0.488
1696955064946,2023-10-10T16:24:24.946000,0.04,1.951,2.012,4.024
1696955064986,2023-10-10T16:24:24.986000,0.08,7.134,-16.341,3.72
1696955065026,2023-10-10T16:24:25.026000,0.12,18.476,-64.756,3.171
1696955065066,2023-10-10T16:24:25.066000,0.16,17.317,-47.927,3.841
1696955065106,2023-10-10T16:24:25.106000,0.2,11.524,-27.439,5.488
1696955065146,2023-10-10T16:24:25.146000,0.24,10.61,-11.524,5.915
1696955065186,2023-10-10T16:24:25.186000,0.28,6.341,-2.866,4.024
1696955065226,2023-10-10T16:24:25.226000,0.32,5.549,-4.817,2.561
1696955065266,2023-10-10T16:24:25.266000,0.36,0.122,0.244,4.573
1696955065306,2023-10-10T16:24:25.306000,0.4,1.829,0.488,4.817
1696955065346,2023-10-10T16:24:25.346000,0.44,0.61,1.829,3.232
1696955065386,2023-10-10T16:24:25.386000,0.48,2.256,-3.902,0.671
1696955065426,2023-10-10T16:24:25.426000,0.52,1.646,-0.854,-0.976
1696955065466,2023-10-10T16:24:25.466000,0.56,1.646,-1.829,1.707
1696955065506,2023-10-10T16:24:25.506000,0.6,-1.098,2.073,4.39
1696955065546,2023-10-10T16:24:25.546000,0.64,-3.049,8.476,3.537
1696955065586,2023-10-10T16:24:25.586000,0.68,-0.793,7.683,0.427
1696955065626,2023-10-10T16:24:25.626000,0.72,-2.988,17.012,-3.354
1696955065666,2023-10-10T16:24:25.666000,0.76,-1.28,10.061,-2.866
1696955065706,2023-10-10T16:24:25.706000,0.8,-0.915,8.049,-2.073
1696955065746,2023-10-10T16:24:25.746000,0.84,0.061,3.963,-1.463
1696955065786,2023-10-10T16:24:25.786000,0.88,0.244,9.756,-1.341
1696955065826,2023-10-10T16:24:25.826000,0.92,-0.732,10.61,0.671
1696955065866,2023-10-10T16:24:25.866000,0.96,-1.037,15.366,-2.439
1696955065906,2023-10-10T16:24:25.906000,1.0,0.183,3.598,-1.829
1696955065946,2023-10-10T16:24:25.946000,1.04,-0.427,-18.963,4.329
1696955065986,2023-10-10T16:24:25.986000,1.08,0.61,-31.89,5.183
1696955066026,2023-10-10T16:24:26.026000,1.12,2.988,-13.354,1.707
1696955066066,2023-10-10T16:24:26.066000,1.16,3.72,-6.524,1.341
1696955066106,2023-10-10T16:24:26.106000,1.2,3.354,-7.744,1.159
1696955066146,2023-10-10T16:24:26.146000,1.24,1.463,-6.037,1.707
1696955066186,2023-10-10T16:24:26.186000,1.28,0.061,-6.341,2.073
1696955066226,2023-10-10T16:24:26.226000,1.32,-0.671,-4.512,0.488
1696955066266,2023-10-10T16:24:26.266000,1.36,1.341,-6.28,0.366
1696955066306,2023-10-10T16:24:26.306000,1.4,-2.256,12.805,0.915
1696955066346,2023-10-10T16:24:26.346000,1.44,-5.244,27.683,1.098
1696955066386,2023-10-10T16:24:26.386000,1.48,3.11,0.0,1.89
1696955066426,2023-10-10T16:24:26.426000,1.52,6.28,-6.585,-1.402
1696955066466,2023-10-10T16:24:26.466000,1.56,6.159,-4.146,-3.293
1696955066506,2023-10-10T16:24:26.506000,1.6,6.524,-9.329,-3.232
1696955066546,2023-10-10T16:24:26.546000,1.64,8.171,-17.073,2.439
1696955066586,2023-10-10T16:24:26.586000,1.68,16.402,-43.78,14.207
1696955066626,2023-10-10T16:24:26.626000,1.72,16.341,-43.537,8.415
1696955066666,2023-10-10T16:24:26.666000,1.76,22.988,-35.671,-9.512
1696955066706,2023-10-10T16:24:26.706000,1.8,20.366,-36.098,-17.988
1696955066746,2023-10-10T16:24:26.746000,1.84,10.915,-37.805,-8.659
1696955066786,2023-10-10T16:24:26.786000,1.88,0.854,-21.037,6.89
1696955066826,2023-10-10T16:24:26.826000,1.92,2.927,-7.988,11.951
1696955066866,2023-10-10T16:24:26.866000,1.96,7.622,-3.293,-3.293
1696955066906,2023-10-10T16:24:26.906000,2.0,4.634,-0.488,-7.561
1696955066946,2023-10-10T16:24:26.946000,2.04,3.476,-13.232,9.024
1696955066986,2023-10-10T16:24:26.986000,2.08,2.5,-8.902,2.439
1696955067026,2023-10-10T16:24:27.026000,2.12,-0.854,-2.439,0.122
1696955067066,2023-10-10T16:24:27.066000,2.16,3.171,-7.378,5.427
1696955067106,2023-10-10T16:24:27.106000,2.2,0.793,-5.976,5.671
1696955067146,2023-10-10T16:24:27.146000,2.24,7.134,-6.768,1.646
1696955067186,2023-10-10T16:24:27.186000,2.28,7.744,-12.5,3.78
1696955067226,2023-10-10T16:24:27.226000,2.32,3.354,-7.439,4.756
1696955067266,2023-10-10T16:24:27.266000,2.36,9.756,-8.659,-2.927
1696955067306,2023-10-10T16:24:27.306000,2.4,6.585,-9.146,3.293
1696955067346,2023-10-10T16:24:27.346000,2.44,6.098,-2.5,-3.415
1696955067386,2023-10-10T16:24:27.386000,2.48,6.037,-2.683,0.671
1696955067426,2023-10-10T16:24:27.426000,2.52,4.39,-3.78,-3.476
1696955067466,2023-10-10T16:24:27.466000,2.56,9.39,-2.683,-0.305
1696955067506,2023-10-10T16:24:27.506000,2.6,19.329,-14.878,7.744
1696955067546,2023-10-10T16:24:27.546000,2.64,4.695,6.768,2.622
1696955067586,2023-10-10T16:24:27.586000,2.68,15.122,0.244,2.195
1696955067626,2023-10-10T16:24:27.626000,2.72,26.829,-14.512,7.317
1696955067666,2023-10-10T16:24:27.666000,2.76,14.817,6.402,3.476
1696955067706,2023-10-10T16:24:27.706000,2.8,29.146,-6.098,2.988
1696955067746,2023-10-10T16:24:27.746000,2.84,25.0,0.244,2.927
1696955067786,2023-10-10T16:24:27.786000,2.88,19.756,7.744,5.549
1696955067826,2023-10-10T16:24:27.826000,2.92,43.963,-16.22,10.427
1696955067866,2023-10-10T16:24:27.866000,2.96,48.659,-17.744,10.671
1696955067906,2023-10-10T16:24:27.906000,3.0,48.232,3.598,8.537
1696955067946,2023-10-10T16:24:27.946000,3.04,51.829,4.817,7.927
1696955067986,2023-10-10T16:24:27.986000,3.08,50.427,9.817,7.622
1696955068026,2023-10-10T16:24:28.026000,3.12,53.72,7.073,5.915
1696955068066,2023-10-10T16:24:28.066000,3.16,39.817,1.341,8.11
1696955068106,2023-10-10T16:24:28.106000,3.2,14.451,20.549,3.537
1696955068146,2023-10-10T16:24:28.146000,3.24,7.683,6.707,7.317
1696955068186,2023-10-10T16:24:28.186000,3.28,6.707,-7.683,8.11
1696955068226,2023-10-10T16:24:28.226000,3.32,-3.78,5.488,3.293
1696955068266,2023-10-10T16:24:28.266000,3.36,-3.78,-1.768,-0.61
1696955068306,2023-10-10T16:24:28.306000,3.4,-6.463,-0.793,0.305
1696955068346,2023-10-10T16:24:28.346000,3.44,-13.293,-2.378,-0.854
1696955068386,2023-10-10T16:24:28.386000,3.48,-29.756,3.72,-3.232
1696955068426,2023-10-10T16:24:28.426000,3.52,-41.524,3.049,-8.598
1696955068466,2023-10-10T16:24:28.466000,3.56,-48.415,-2.134,-14.756
1696955068506,2023-10-10T16:24:28.506000,3.6,-53.232,7.195,-23.78
1696955068546,2023-10-10T16:24:28.546000,3.64,-44.573,-14.024,-16.768
1696955068586,2023-10-10T16:24:28.586000,3.68,-45.0,-14.329,-5.854
1696955068626,2023-10-10T16:24:28.626000,3.72,-40.061,-10.61,-2.073
1696955068666,2023-10-10T16:24:28.666000,3.76,-32.683,-13.72,-5.305
1696955068706,2023-10-10T16:24:28.706000,3.8,-28.232,-1.159,-5.366
1696955068746,2023-10-10T16:24:28.746000,3.84,-19.146,-6.585,-2.561
1696955068786,2023-10-10T16:24:28.786000,3.88,-9.634,-17.988,2.5
1696955068826,2023-10-10T16:24:28.826000,3.92,-12.134,-4.39,-0.061
1696955068866,2023-10-10T16:24:28.866000,3.96,-4.268,-9.024,-7.134
1696955068906,2023-10-10T16:24:28.906000,4.0,-6.768,-2.134,0.488
1696955068946,2023-10-10T16:24:28.946000,4.04,-9.268,2.866,-1.951
1696955068986,2023-10-10T16:24:28.986000,4.08,-11.402,-0.793,0.549
1696955069026,2023-10-10T16:24:29.026000,4.12,-6.524,-3.476,-1.22
1696955069066,2023-10-10T16:24:29.066000,4.16,-8.11,3.11,-2.012
1696955069106,2023-10-10T16:24:29.106000,4.2,-6.707,0.61,1.22
1696955069146,2023-10-10T16:24:29.146000,4.24,-6.829,-2.378,0.854
1696955069186,2023-10-10T16:24:29.186000,4.28,-5.61,7.805,-2.378
1696955069226,2023-10-10T16:24:29.226000,4.32,-0.61,-5.915,0.122
1696955069266,2023-10-10T16:24:29.266000,4.36,-2.744,0.61,-11.951
1696955069306,2023-10-10T16:24:29.306000,4.4,1.159,-7.134,-14.39
1696955069346,2023-10-10T16:24:29.346000,4.44,4.268,-11.524,-18.11
1696955069386,2023-10-10T16:24:29.386000,4.48,-8.11,24.329,4.878
1696955069426,2023-10-10T16:24:29.426000,4.52,14.573,-24.207,-2.866
1696955069466,2023-10-10T16:24:29.466000,4.56,-10.915,13.72,8.232
1696955069506,2023-10-10T16:24:29.506000,4.6,-16.951,21.159,9.573
1696955069546,2023-10-10T16:24:29.546000,4.64,-1.037,-3.72,12.927
1696955069586,2023-10-10T16:24:29.586000,4.68,-6.707,3.537,7.683
1696955069626,2023-10-10T16:24:29.626000,4.72,7.805,-15.0,3.049
1696955069666,2023-10-10T16:24:29.666000,4.76,2.012,-3.72,1.524
1696955069706,2023-10-10T16:24:29.706000,4.8,-1.28,5.061,0.854
1696955069746,2023-10-10T16:24:29.746000,4.84,7.744,-15.305,5.0
1696955069786,2023-10-10T16:24:29.786000,4.88,7.561,-16.585,4.207
1696955069826,2023-10-10T16:24:29.826000,4.92,6.463,-2.378,5.305
1696955069866,2023-10-10T16:24:29.866000,4.96,13.659,-5.305,0.976
1696955069906,2023-10-10T16:24:29.906000,5.0,10.915,-6.098,4.329
1696955069946,2023-10-10T16:24:29.946000,5.04,7.317,-8.11,4.268
1696955069986,2023-10-10T16:24:29.986000,5.08,10.305,-15.305,0.854
1696955070026,2023-10-10T16:24:30.026000,5.12,7.439,-12.256,3.537
1696955070066,2023-10-10T16:24:30.066000,5.16,7.683,-10.305,4.573
1696955070106,2023-10-10T16:24:30.106000,5.2,6.89,-4.756,-1.341
1696955070146,2023-10-10T16:24:30.146000,5.24,2.317,3.232,-1.89
1696955070186,2023-10-10T16:24:30.186000,5.28,4.756,-2.073,0.488
1696955070226,2023-10-10T16:24:30.226000,5.32,7.988,-6.951,2.073
1696955070266,2023-10-10T16:24:30.266000,5.36,5.305,2.378,4.268
1696955070306,2023-10-10T16:24:30.306000,5.4,10.305,2.866,0.305
1696955070346,2023-10-10T16:24:30.346000,5.44,18.232,-6.28,8.049
1696955070386,2023-10-10T16:24:30.386000,5.48,23.72,0.915,6.585
1696955070426,2023-10-10T16:24:30.426000,5.52,32.988,3.293,2.134
1696955070466,2023-10-10T16:24:30.466000,5.56,44.634,3.232,3.72
1696955070506,2023-10-10T16:24:30.506000,5.6,57.317,3.659,2.927
1696955070546,2023-10-10T16:24:30.546000,5.64,65.915,-3.11,11.768
1696955070586,2023-10-10T16:24:30.586000,5.68,66.159,-1.22,15.244
1696955070626,2023-10-10T16:24:30.626000,5.72,71.829,8.72,3.171
1696955070666,2023-10-10T16:24:30.666000,5.76,72.073,10.488,0.671
1696955070706,2023-10-10T16:24:30.706000,5.8,64.024,-1.402,6.951
1696955070746,2023-10-10T16:24:30.746000,5.84,46.341,-4.268,10.488
1696955070786,2023-10-10T16:24:30.786000,5.88,18.598,13.11,1.829
1696955070826,2023-10-10T16:24:30.826000,5.92,-0.183,16.524,-2.256
1696955070866,2023-10-10T16:24:30.866000,5.96,-3.476,4.085,-1.28
1696955070906,2023-10-10T16:24:30.906000,6.0,-3.415,-12.012,8.11
1696955070946,2023-10-10T16:24:30.946000,6.04,-0.061,-18.293,12.866
1696955070986,2023-10-10T16:24:30.986000,6.08,2.622,-7.866,10.549
1696955071026,2023-10-10T16:24:31.026000,6.12,10.915,-12.195,11.22
1696955071066,2023-10-10T16:24:31.066000,6.16,7.195,-4.024,2.927
1696955071106,2023-10-10T16:24:31.106000,6.2,-4.573,15.549,-9.756
1696955071146,2023-10-10T16:24:31.146000,6.24,-2.622,11.585,-8.476
1696955071186,2023-10-10T16:24:31.186000,6.28,4.024,-8.415,-2.195
1696955071226,2023-10-10T16:24:31.226000,6.32,-7.317,-9.39,0.915
1696955071266,2023-10-10T16:24:31.266000,6.36,-25.427,4.878,-2.012
1696955071306,2023-10-10T16:24:31.306000,6.4,-34.939,8.232,-8.72
1696955071346,2023-10-10T16:24:31.346000,6.44,-41.829,9.085,-9.756
1696955071386,2023-10-10T16:24:31.386000,6.48,-41.463,-6.89,-8.659
