epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697311835127,2023-10-14T19:30:35.127000,0.0,0.081,-1.054,0.043
1697311835207,2023-10-14T19:30:35.207000,0.08,0.056,-1.045,0.048
1697311835287,2023-10-14T19:30:35.287000,0.16,0.089,-1.024,0.01
1697311835367,2023-10-14T19:30:35.367000,0.24,0.099,-1.04,0.045
1697311835447,2023-10-14T19:30:35.447000,0.32,-0.015,-0.958,-0.104
1697311835527,2023-10-14T19:30:35.527000,0.4,0.056,-1.005,-0.093
1697311835607,2023-10-14T19:30:35.607000,0.48,0.115,-1.084,-0.053
1697311835687,2023-10-14T19:30:35.687000,0.56,0.1,-1.026,-0.074
1697311835767,2023-10-14T19:30:35.767000,0.64,0.072,-1.009,-0.043
1697311835847,2023-10-14T19:30:35.847000,0.72,0.115,-1.035,-0.093
1697311835927,2023-10-14T19:30:35.927000,0.8,0.11,-1.003,-0.04
1697311836007,2023-10-14T19:30:36.007000,0.88,0.11,-1.064,-0.068
1697311836087,2023-10-14T19:30:36.087000,0.96,0.121,-1.084,-0.072
1697311836167,2023-10-14T19:30:36.167000,1.04,0.12,-1.154,-0.088
1697311836247,2023-10-14T19:30:36.247000,1.12,0.122,-1.165,-0.103
1697311836327,2023-10-14T19:30:36.327000,1.2,0.104,-1.172,-0.114
1697311836407,2023-10-14T19:30:36.407000,1.28,0.106,-1.167,-0.104
1697311836487,2023-10-14T19:30:36.487000,1.36,0.122,-1.161,-0.084
1697311836567,2023-10-14T19:30:36.567000,1.44,0.109,-1.131,-0.098
1697311836647,2023-10-14T19:30:36.647000,1.52,0.102,-1.126,-0.063
1697311836727,2023-10-14T19:30:36.727000,1.6,0.08,-1.081,-0.034
1697311836807,2023-10-14T19:30:36.807000,1.68,0.095,-1.05,-0.045
1697311836887,2023-10-14T19:30:36.887000,1.76,0.078,-0.95,-0.036
1697311836967,2023-10-14T19:30:36.967000,1.84,0.103,-0.836,-0.012
1697311837047,2023-10-14T19:30:37.047000,1.92,0.077,-0.674,0.097
1697311837127,2023-10-14T19:30:37.127000,2.0,0.021,-0.607,0.21
1697311837207,2023-10-14T19:30:37.207000,2.08,0.048,-0.786,0.285
1697311837287,2023-10-14T19:30:37.287000,2.16,0.075,-1.009,0.28
1697311837367,2023-10-14T19:30:37.367000,2.24,0.034,-1.022,0.231
1697311837447,2023-10-14T19:30:37.447000,2.32,0.046,-0.861,0.247
