epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697311586525,2023-10-14T19:26:26.525000,0.0,-18.902,-13.598,6.829
1697311586565,2023-10-14T19:26:26.565000,0.04,-19.207,-18.11,5.305
1697311586605,2023-10-14T19:26:26.605000,0.08,-14.085,-17.195,3.171
1697311586645,2023-10-14T19:26:26.645000,0.12,-11.646,-1.159,7.805
1697311586685,2023-10-14T19:26:26.685000,0.16,-6.22,-15.305,5.854
1697311586725,2023-10-14T19:26:26.725000,0.2,-10.61,-8.415,3.354
1697311586765,2023-10-14T19:26:26.765000,0.24,-15.244,2.683,-0.549
1697311586805,2023-10-14T19:26:26.805000,0.28,-13.902,3.476,-3.049
1697311586845,2023-10-14T19:26:26.845000,0.32,-2.805,-1.463,-4.634
1697311586885,2023-10-14T19:26:26.885000,0.36,-2.622,4.878,-6.768
1697311586925,2023-10-14T19:26:26.925000,0.4,-3.171,0.488,-5.244
1697311586965,2023-10-14T19:26:26.965000,0.44,6.707,-14.939,-4.268
1697311587005,2023-10-14T19:26:27.005000,0.48,-0.305,-9.634,-1.098
1697311587045,2023-10-14T19:26:27.045000,0.52,-4.024,-9.512,0.854
1697311587085,2023-10-14T19:26:27.085000,0.56,8.11,-20.244,-2.988
1697311587125,2023-10-14T19:26:27.125000,0.6,-0.427,-10.793,-2.805
1697311587165,2023-10-14T19:26:27.165000,0.64,7.866,-13.78,-3.78
1697311587205,2023-10-14T19:26:27.205000,0.68,10.488,-12.256,-3.537
1697311587245,2023-10-14T19:26:27.245000,0.72,2.134,-3.963,0.61
1697311587285,2023-10-14T19:26:27.285000,0.76,13.11,-10.793,-0.671
1697311587325,2023-10-14T19:26:27.325000,0.8,3.171,-6.341,4.756
1697311587365,2023-10-14T19:26:27.365000,0.84,3.78,-4.756,5.305
1697311587405,2023-10-14T19:26:27.405000,0.88,2.5,0.427,3.598
1697311587445,2023-10-14T19:26:27.445000,0.92,-1.28,5.366,1.89
1697311587485,2023-10-14T19:26:27.485000,0.96,-1.768,0.427,3.049
1697311587525,2023-10-14T19:26:27.525000,1.0,3.293,0.061,0.732
1697311587565,2023-10-14T19:26:27.565000,1.04,7.378,1.463,-1.829
1697311587605,2023-10-14T19:26:27.605000,1.08,9.329,0.732,0.305
1697311587645,2023-10-14T19:26:27.645000,1.12,13.354,1.402,-3.841
1697311587685,2023-10-14T19:26:27.685000,1.16,7.561,3.171,0.854
1697311587725,2023-10-14T19:26:27.725000,1.2,10.061,5.061,2.134
1697311587765,2023-10-14T19:26:27.765000,1.24,16.22,-2.622,1.22
1697311587805,2023-10-14T19:26:27.805000,1.28,15.976,-1.707,0.671
1697311587845,2023-10-14T19:26:27.845000,1.32,15.488,-0.61,0.732
1697311587885,2023-10-14T19:26:27.885000,1.36,27.256,-8.049,0.61
1697311587925,2023-10-14T19:26:27.925000,1.4,26.585,-7.927,4.268
1697311587965,2023-10-14T19:26:27.965000,1.44,35.244,-2.378,0.244
1697311588005,2023-10-14T19:26:28.005000,1.48,47.744,-4.817,1.585
1697311588045,2023-10-14T19:26:28.045000,1.52,44.268,8.902,5.976
1697311588085,2023-10-14T19:26:28.085000,1.56,53.72,17.256,3.598
1697311588125,2023-10-14T19:26:28.125000,1.6,55.244,17.805,1.402
1697311588165,2023-10-14T19:26:28.165000,1.64,38.659,10.854,5.61
1697311588205,2023-10-14T19:26:28.205000,1.68,16.037,0.244,11.402
1697311588245,2023-10-14T19:26:28.245000,1.72,-6.951,-10.549,5.244
1697311588285,2023-10-14T19:26:28.285000,1.76,-14.817,-9.756,3.963
1697311588325,2023-10-14T19:26:28.325000,1.8,-16.585,-1.707,8.293
1697311588365,2023-10-14T19:26:28.365000,1.84,-17.5,2.683,9.634
1697311588405,2023-10-14T19:26:28.405000,1.88,-19.573,15.671,5.854
1697311588445,2023-10-14T19:26:28.445000,1.92,-28.232,7.256,3.72
1697311588485,2023-10-14T19:26:28.485000,1.96,-38.171,4.695,-3.415
1697311588525,2023-10-14T19:26:28.525000,2.0,-41.463,-2.622,-10.061
1697311588565,2023-10-14T19:26:28.565000,2.04,-36.524,-5.366,-14.39
1697311588605,2023-10-14T19:26:28.605000,2.08,-35.976,-6.28,-18.171
1697311588645,2023-10-14T19:26:28.645000,2.12,-31.768,-13.902,-13.232
1697311588685,2023-10-14T19:26:28.685000,2.16,-31.28,-17.683,-7.744
1697311588725,2023-10-14T19:26:28.725000,2.2,-32.805,-8.963,-6.646
1697311588765,2023-10-14T19:26:28.765000,2.24,-22.012,-20.488,-2.195
1697311588805,2023-10-14T19:26:28.805000,2.28,-23.415,-15.488,0.366
1697311588845,2023-10-14T19:26:28.845000,2.32,-17.317,2.744,-6.28
1697311588885,2023-10-14T19:26:28.885000,2.36,-0.183,-18.049,-1.098
1697311588925,2023-10-14T19:26:28.925000,2.4,4.024,-13.049,1.463
1697311588965,2023-10-14T19:26:28.965000,2.44,4.085,-12.622,-5.854
1697311589005,2023-10-14T19:26:29.005000,2.48,-3.049,-7.988,4.268
1697311589045,2023-10-14T19:26:29.045000,2.52,-2.744,-0.305,6.89
1697311589085,2023-10-14T19:26:29.085000,2.56,-2.866,1.098,7.439
1697311589125,2023-10-14T19:26:29.125000,2.6,-6.585,4.878,5.183
1697311589165,2023-10-14T19:26:29.165000,2.64,-10.793,-1.585,3.11
1697311589205,2023-10-14T19:26:29.205000,2.68,-28.476,-11.159,-19.146
1697311589245,2023-10-14T19:26:29.245000,2.72,-14.451,6.402,-15.549
1697311589285,2023-10-14T19:26:29.285000,2.76,9.268,5.061,5.915
1697311589325,2023-10-14T19:26:29.325000,2.8,1.585,18.415,6.646
1697311589365,2023-10-14T19:26:29.365000,2.84,6.463,12.683,8.476
1697311589405,2023-10-14T19:26:29.405000,2.88,13.11,5.793,0.671
1697311589445,2023-10-14T19:26:29.445000,2.92,-4.939,-11.951,15.793
1697311589485,2023-10-14T19:26:29.485000,2.96,0.0,7.805,0.671
1697311589525,2023-10-14T19:26:29.525000,3.0,1.524,4.817,-3.049
1697311589565,2023-10-14T19:26:29.565000,3.04,-3.232,-5.183,0.244
1697311589605,2023-10-14T19:26:29.605000,3.08,-4.634,-11.341,3.049
1697311589645,2023-10-14T19:26:29.645000,3.12,-9.024,-8.72,2.744
1697311589685,2023-10-14T19:26:29.685000,3.16,-2.866,-14.451,-7.5
1697311589725,2023-10-14T19:26:29.725000,3.2,6.159,-5.183,-7.073
1697311589765,2023-10-14T19:26:29.765000,3.24,15.244,-11.341,-4.146
1697311589805,2023-10-14T19:26:29.805000,3.28,14.817,-12.683,-1.646
1697311589845,2023-10-14T19:26:29.845000,3.32,14.695,-7.622,0.122
1697311589885,2023-10-14T19:26:29.885000,3.36,10.671,-10.793,5.793
1697311589925,2023-10-14T19:26:29.925000,3.4,7.622,-3.902,2.5
1697311589965,2023-10-14T19:26:29.965000,3.44,3.537,5.244,-1.707
1697311590005,2023-10-14T19:26:30.005000,3.48,8.11,-1.037,-1.768
1697311590045,2023-10-14T19:26:30.045000,3.52,1.707,4.451,-0.549
1697311590085,2023-10-14T19:26:30.085000,3.56,4.268,5.061,-2.378
1697311590125,2023-10-14T19:26:30.125000,3.6,6.159,4.695,1.524
1697311590165,2023-10-14T19:26:30.165000,3.64,24.939,-4.268,1.098
1697311590205,2023-10-14T19:26:30.205000,3.68,21.89,12.805,0.122
1697311590245,2023-10-14T19:26:30.245000,3.72,29.939,11.768,-0.671
1697311590285,2023-10-14T19:26:30.285000,3.76,48.293,-1.951,-0.488
1697311590325,2023-10-14T19:26:30.325000,3.8,54.207,-9.451,7.256
1697311590365,2023-10-14T19:26:30.365000,3.84,68.537,-4.329,9.451
1697311590405,2023-10-14T19:26:30.405000,3.88,70.488,8.171,12.256
1697311590445,2023-10-14T19:26:30.445000,3.92,71.646,5.061,18.598
1697311590485,2023-10-14T19:26:30.485000,3.96,68.659,14.207,14.451
1697311590525,2023-10-14T19:26:30.525000,4.0,44.024,2.439,16.341
1697311590565,2023-10-14T19:26:30.565000,4.04,6.768,11.037,10.61
1697311590605,2023-10-14T19:26:30.605000,4.08,-31.22,24.085,0.854
1697311590645,2023-10-14T19:26:30.645000,4.12,-29.634,14.329,-2.744
1697311590685,2023-10-14T19:26:30.685000,4.16,-3.476,-0.671,-3.841
1697311590725,2023-10-14T19:26:30.725000,4.2,-0.732,-3.78,2.317
1697311590765,2023-10-14T19:26:30.765000,4.24,2.378,-0.122,1.341
1697311590805,2023-10-14T19:26:30.805000,4.28,-6.768,1.463,0.0
