epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697205186863,2023-10-13T13:53:06.863000,0.0,-0.38,0.747,-0.069
1697205186943,2023-10-13T13:53:06.943000,0.08,-0.401,0.804,-0.052
1697205187023,2023-10-13T13:53:07.023000,0.16,-0.409,0.879,-0.063
1697205187103,2023-10-13T13:53:07.103000,0.24,-0.38,0.895,-0.056
1697205187183,2023-10-13T13:53:07.183000,0.32,-0.344,0.895,-0.074
1697205187263,2023-10-13T13:53:07.263000,0.4,-0.288,0.873,-0.066
1697205187343,2023-10-13T13:53:07.343000,0.48,-0.223,0.83,-0.081
1697205187423,2023-10-13T13:53:07.423000,0.56,-0.201,0.746,-0.082
1697205187503,2023-10-13T13:53:07.503000,0.64,-0.177,0.775,-0.132
1697205187583,2023-10-13T13:53:07.583000,0.72,-0.22,0.882,-0.053
1697205187663,2023-10-13T13:53:07.663000,0.8,-0.213,0.943,-0.061
1697205187743,2023-10-13T13:53:07.743000,0.88,-0.213,0.827,-0.129
1697205187823,2023-10-13T13:53:07.823000,0.96,-0.205,0.685,-0.136
1697205187903,2023-10-13T13:53:07.903000,1.04,-0.216,0.68,-0.11
1697205187983,2023-10-13T13:53:07.983000,1.12,-0.26,0.779,-0.172
1697205188063,2023-10-13T13:53:08.063000,1.2,-0.304,0.859,-0.176
1697205188143,2023-10-13T13:53:08.143000,1.28,-0.343,0.862,-0.145
1697205188223,2023-10-13T13:53:08.223000,1.36,-0.364,0.917,-0.181
1697205188303,2023-10-13T13:53:08.303000,1.44,-0.363,0.925,-0.135
1697205188383,2023-10-13T13:53:08.383000,1.52,-0.35,0.932,-0.061
1697205188463,2023-10-13T13:53:08.463000,1.6,-0.347,1.005,-0.033
1697205188543,2023-10-13T13:53:08.543000,1.68,-0.311,1.08,-0.058
1697205188623,2023-10-13T13:53:08.623000,1.76,-0.261,1.082,-0.072
1697205188703,2023-10-13T13:53:08.703000,1.84,-0.221,1.096,-0.051
1697205188783,2023-10-13T13:53:08.783000,1.92,-0.163,1.141,-0.033
1697205188863,2023-10-13T13:53:08.863000,2.0,-0.135,1.075,0.015
1697205188943,2023-10-13T13:53:08.943000,2.08,-0.087,0.994,0.009
1697205189023,2023-10-13T13:53:09.023000,2.16,-0.121,1.096,0.095
1697205189103,2023-10-13T13:53:09.103000,2.24,-0.22,1.422,0.075
1697205189183,2023-10-13T13:53:09.183000,2.32,-0.282,1.349,0.116
1697205189263,2023-10-13T13:53:09.263000,2.4,-0.285,1.048,0.079
1697205189343,2023-10-13T13:53:09.343000,2.48,-0.309,0.889,-0.002
1697205189423,2023-10-13T13:53:09.423000,2.56,-0.34,0.821,-0.021
1697205189503,2023-10-13T13:53:09.503000,2.64,-0.352,0.802,-0.013
1697205189583,2023-10-13T13:53:09.583000,2.72,-0.362,0.81,-0.07
1697205189663,2023-10-13T13:53:09.663000,2.8,-0.329,0.762,-0.047
1697205189743,2023-10-13T13:53:09.743000,2.88,-0.373,0.778,-0.034
1697205189823,2023-10-13T13:53:09.823000,2.96,-0.376,0.837,-0.061
1697205189903,2023-10-13T13:53:09.903000,3.04,-0.395,0.857,-0.016
1697205189983,2023-10-13T13:53:09.983000,3.12,-0.388,0.849,-0.004
1697205190063,2023-10-13T13:53:10.063000,3.2,-0.376,0.882,-0.011
1697205190143,2023-10-13T13:53:10.143000,3.28,-0.364,0.943,0.015
1697205190223,2023-10-13T13:53:10.223000,3.36,-0.345,0.991,0.002
1697205190303,2023-10-13T13:53:10.303000,3.44,-0.263,0.941,-0.017
1697205190383,2023-10-13T13:53:10.383000,3.52,-0.216,0.74,-0.02
1697205190463,2023-10-13T13:53:10.463000,3.6,-0.179,0.699,-0.084
1697205190543,2023-10-13T13:53:10.543000,3.68,-0.218,0.898,-0.057
1697205190623,2023-10-13T13:53:10.623000,3.76,-0.218,0.94,-0.042
