epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697205186457,2023-10-13T13:53:06.457000,0.0,8.72,6.951,-73.415
1697205186497,2023-10-13T13:53:06.497000,0.04,9.634,4.756,-71.768
1697205186537,2023-10-13T13:53:06.537000,0.08,8.232,-0.427,-57.378
1697205186577,2023-10-13T13:53:06.577000,0.12,-2.378,6.524,-46.646
1697205186617,2023-10-13T13:53:06.617000,0.16,-1.22,10.671,-33.78
1697205186657,2023-10-13T13:53:06.657000,0.2,-2.012,15.061,-22.317
1697205186697,2023-10-13T13:53:06.697000,0.24,-18.598,11.463,-25.854
1697205186737,2023-10-13T13:53:06.737000,0.28,-19.817,17.378,-18.171
1697205186777,2023-10-13T13:53:06.777000,0.32,-10.61,-6.707,-2.439
1697205186817,2023-10-13T13:53:06.817000,0.36,-2.805,-0.305,7.012
1697205186857,2023-10-13T13:53:06.857000,0.4,-6.037,9.634,5.976
1697205186897,2023-10-13T13:53:06.897000,0.44,-0.366,7.622,17.805
1697205186937,2023-10-13T13:53:06.937000,0.48,4.817,4.268,26.159
1697205186977,2023-10-13T13:53:06.977000,0.52,-1.22,3.293,20.549
1697205187017,2023-10-13T13:53:07.017000,0.56,-8.476,1.646,16.707
1697205187057,2023-10-13T13:53:07.057000,0.6,-8.415,2.073,20.915
1697205187097,2023-10-13T13:53:07.097000,0.64,-8.476,9.939,23.841
1697205187137,2023-10-13T13:53:07.137000,0.68,-4.329,4.146,29.451
1697205187177,2023-10-13T13:53:07.177000,0.72,-3.476,0.122,31.037
1697205187217,2023-10-13T13:53:07.217000,0.76,1.037,0.244,34.268
1697205187257,2023-10-13T13:53:07.257000,0.8,2.683,1.951,38.72
1697205187297,2023-10-13T13:53:07.297000,0.84,2.317,4.634,40.732
1697205187337,2023-10-13T13:53:07.337000,0.88,-8.78,10.915,38.232
1697205187377,2023-10-13T13:53:07.377000,0.92,-6.463,-2.561,18.232
1697205187417,2023-10-13T13:53:07.417000,0.96,-18.72,5.366,-0.244
1697205187457,2023-10-13T13:53:07.457000,1.0,5.671,-27.744,6.585
1697205187497,2023-10-13T13:53:07.497000,1.04,22.012,-37.073,5.976
1697205187537,2023-10-13T13:53:07.537000,1.08,23.78,-27.622,-2.988
1697205187577,2023-10-13T13:53:07.577000,1.12,15.305,-10.549,-10.305
1697205187617,2023-10-13T13:53:07.617000,1.16,4.512,-2.012,-7.134
1697205187657,2023-10-13T13:53:07.657000,1.2,8.293,-4.451,0.427
1697205187697,2023-10-13T13:53:07.697000,1.24,10.976,-4.573,-6.463
1697205187737,2023-10-13T13:53:07.737000,1.28,12.866,-11.524,-20.976
1697205187777,2023-10-13T13:53:07.777000,1.32,25.305,-18.841,-22.012
1697205187817,2023-10-13T13:53:07.817000,1.36,29.695,-23.72,-26.646
1697205187857,2023-10-13T13:53:07.857000,1.4,24.512,-16.951,-29.268
1697205187897,2023-10-13T13:53:07.897000,1.44,18.232,1.098,-28.171
1697205187937,2023-10-13T13:53:07.937000,1.48,25.915,-9.39,-18.78
1697205187977,2023-10-13T13:53:07.977000,1.52,16.768,-6.463,-20.915
1697205188017,2023-10-13T13:53:08.017000,1.56,16.22,-2.439,-13.476
1697205188057,2023-10-13T13:53:08.057000,1.6,3.902,-9.939,-2.988
1697205188097,2023-10-13T13:53:08.097000,1.64,-5.061,-4.878,-8.841
1697205188137,2023-10-13T13:53:08.137000,1.68,-14.146,-2.256,-3.963
1697205188177,2023-10-13T13:53:08.177000,1.72,-20.915,-8.232,6.646
1697205188217,2023-10-13T13:53:08.217000,1.76,-24.268,-10.122,5.854
1697205188257,2023-10-13T13:53:08.257000,1.8,-32.073,-13.537,10.61
1697205188297,2023-10-13T13:53:08.297000,1.84,-18.537,-18.598,9.634
1697205188337,2023-10-13T13:53:08.337000,1.88,-20.549,-15.793,12.5
1697205188377,2023-10-13T13:53:08.377000,1.92,-12.012,-21.098,19.268
1697205188417,2023-10-13T13:53:08.417000,1.96,-6.341,-24.146,25.244
1697205188457,2023-10-13T13:53:08.457000,2.0,-1.829,-14.39,39.146
1697205188497,2023-10-13T13:53:08.497000,2.04,3.476,-12.073,43.232
1697205188537,2023-10-13T13:53:08.537000,2.08,0.671,-7.134,32.683
1697205188577,2023-10-13T13:53:08.577000,2.12,-13.841,-5.366,34.756
1697205188617,2023-10-13T13:53:08.617000,2.16,-9.329,-6.707,41.28
1697205188657,2023-10-13T13:53:08.657000,2.2,-23.902,0.793,40.427
1697205188697,2023-10-13T13:53:08.697000,2.24,-27.805,-1.89,30.366
1697205188737,2023-10-13T13:53:08.737000,2.28,-14.695,-2.561,27.073
1697205188777,2023-10-13T13:53:08.777000,2.32,-10.671,-1.951,19.756
1697205188817,2023-10-13T13:53:08.817000,2.36,-18.232,-0.305,0.854
1697205188857,2023-10-13T13:53:08.857000,2.4,-15.488,1.28,2.561
1697205188897,2023-10-13T13:53:08.897000,2.44,-9.451,-5.122,5.671
1697205188937,2023-10-13T13:53:08.937000,2.48,-18.537,-3.354,0.549
1697205188977,2023-10-13T13:53:08.977000,2.52,-29.512,-0.976,-10.366
1697205189017,2023-10-13T13:53:09.017000,2.56,-35.427,9.756,-21.22
1697205189057,2023-10-13T13:53:09.057000,2.6,-10.61,6.037,-27.195
1697205189097,2023-10-13T13:53:09.097000,2.64,13.963,2.805,-46.951
1697205189137,2023-10-13T13:53:09.137000,2.68,22.805,11.89,-56.159
1697205189177,2023-10-13T13:53:09.177000,2.72,21.524,19.634,-60.488
1697205189217,2023-10-13T13:53:09.217000,2.76,31.768,21.89,-59.939
1697205189257,2023-10-13T13:53:09.257000,2.8,32.439,33.841,-47.866
1697205189297,2023-10-13T13:53:09.297000,2.84,33.78,18.78,-33.659
1697205189337,2023-10-13T13:53:09.337000,2.88,30.854,11.037,-25.732
1697205189377,2023-10-13T13:53:09.377000,2.92,26.22,15.244,-17.988
1697205189417,2023-10-13T13:53:09.417000,2.96,15.671,20.976,-13.902
1697205189457,2023-10-13T13:53:09.457000,3.0,1.037,10.244,-11.829
1697205189497,2023-10-13T13:53:09.497000,3.04,-8.049,15.061,-13.171
1697205189537,2023-10-13T13:53:09.537000,3.08,-7.378,6.524,-5.366
1697205189577,2023-10-13T13:53:09.577000,3.12,-9.573,5.793,-3.354
1697205189617,2023-10-13T13:53:09.617000,3.16,-5.732,-2.195,10.549
1697205189657,2023-10-13T13:53:09.657000,3.2,-20.122,9.573,4.024
1697205189697,2023-10-13T13:53:09.697000,3.24,-20.671,8.11,-9.268
1697205189737,2023-10-13T13:53:09.737000,3.28,-6.28,-2.317,-1.89
1697205189777,2023-10-13T13:53:09.777000,3.32,4.024,-2.683,10.793
1697205189817,2023-10-13T13:53:09.817000,3.36,1.159,1.646,10.122
1697205189857,2023-10-13T13:53:09.857000,3.4,-2.439,5.793,10.793
1697205189897,2023-10-13T13:53:09.897000,3.44,-4.695,-2.5,9.634
1697205189937,2023-10-13T13:53:09.937000,3.48,-7.866,2.256,8.537
1697205189977,2023-10-13T13:53:09.977000,3.52,-5.854,0.183,9.817
1697205190017,2023-10-13T13:53:10.017000,3.56,-1.341,-2.012,13.659
1697205190057,2023-10-13T13:53:10.057000,3.6,2.927,-6.159,18.841
1697205190097,2023-10-13T13:53:10.097000,3.64,-0.183,-1.951,23.659
1697205190137,2023-10-13T13:53:10.137000,3.68,-10.0,2.317,19.024
1697205190177,2023-10-13T13:53:10.177000,3.72,-9.512,2.256,22.317
1697205190217,2023-10-13T13:53:10.217000,3.76,-3.902,1.463,32.561
1697205190257,2023-10-13T13:53:10.257000,3.8,4.39,-0.549,47.561
1697205190297,2023-10-13T13:53:10.297000,3.84,10.183,-1.22,48.11
1697205190337,2023-10-13T13:53:10.337000,3.88,8.902,2.744,21.646
1697205190377,2023-10-13T13:53:10.377000,3.92,4.207,0.976,8.232
1697205190417,2023-10-13T13:53:10.417000,3.96,14.085,-12.866,9.695
1697205190457,2023-10-13T13:53:10.457000,4.0,21.037,-10.305,7.622
1697205190497,2023-10-13T13:53:10.497000,4.04,18.354,-5.183,-5.244
1697205190537,2023-10-13T13:53:10.537000,4.08,10.122,1.22,-16.159
1697205190577,2023-10-13T13:53:10.577000,4.12,7.195,-0.366,-15.061
1697205190617,2023-10-13T13:53:10.617000,4.16,13.232,-0.366,-17.256
1697205190657,2023-10-13T13:53:10.657000,4.2,20.366,-4.207,-22.073
1697205190697,2023-10-13T13:53:10.697000,4.24,27.256,-4.817,-18.537
1697205190737,2023-10-13T13:53:10.737000,4.28,28.902,-0.854,-24.024
1697205190777,2023-10-13T13:53:10.777000,4.32,27.012,1.89,-26.768
1697205190817,2023-10-13T13:53:10.817000,4.36,26.159,2.866,-33.78
1697205190857,2023-10-13T13:53:10.857000,4.4,24.756,-5.488,-31.829
1697205190897,2023-10-13T13:53:10.897000,4.44,26.524,-10.915,-20.183
1697205190937,2023-10-13T13:53:10.937000,4.48,22.927,-7.927,-12.5
1697205190977,2023-10-13T13:53:10.977000,4.52,14.085,-10.122,-7.927
1697205191017,2023-10-13T13:53:11.017000,4.56,8.537,0.061,-3.049
1697205191057,2023-10-13T13:53:11.057000,4.6,4.024,0.0,-0.854
1697205191097,2023-10-13T13:53:11.097000,4.64,4.512,-7.134,2.134
1697205191137,2023-10-13T13:53:11.137000,4.68,-1.098,-9.939,11.341
1697205191177,2023-10-13T13:53:11.177000,4.72,-6.951,-12.073,4.207
1697205191217,2023-10-13T13:53:11.217000,4.76,-3.537,-14.573,10.244
1697205191257,2023-10-13T13:53:11.257000,4.8,-3.171,-19.756,22.866
1697205191297,2023-10-13T13:53:11.297000,4.84,-13.537,-8.415,23.293
1697205191337,2023-10-13T13:53:11.337000,4.88,-22.622,-14.39,18.537
1697205191377,2023-10-13T13:53:11.377000,4.92,-26.524,-19.329,28.78
1697205191417,2023-10-13T13:53:11.417000,4.96,-36.402,-13.659,45.915
1697205191457,2023-10-13T13:53:11.457000,5.0,-23.841,-16.22,45.061
1697205191497,2023-10-13T13:53:11.497000,5.04,-28.476,-21.22,48.293
1697205191537,2023-10-13T13:53:11.537000,5.08,-22.622,-16.098,49.817
1697205191577,2023-10-13T13:53:11.577000,5.12,-18.293,-7.866,55.549
1697205191617,2023-10-13T13:53:11.617000,5.16,3.902,-7.805,52.561
1697205191657,2023-10-13T13:53:11.657000,5.2,7.866,-5.427,37.256
1697205191697,2023-10-13T13:53:11.697000,5.24,9.39,0.793,13.293
1697205191737,2023-10-13T13:53:11.737000,5.28,26.159,2.378,7.195
1697205191777,2023-10-13T13:53:11.777000,5.32,31.585,0.854,14.085
1697205191817,2023-10-13T13:53:11.817000,5.36,18.354,1.646,-2.988
1697205191857,2023-10-13T13:53:11.857000,5.4,3.78,0.671,-8.72
1697205191897,2023-10-13T13:53:11.897000,5.44,-6.646,-3.659,-2.256
1697205191937,2023-10-13T13:53:11.937000,5.48,-18.537,-6.037,-0.244
1697205191977,2023-10-13T13:53:11.977000,5.52,-31.22,-4.085,-11.341
1697205192017,2023-10-13T13:53:12.017000,5.56,-42.439,4.085,-20.915
1697205192057,2023-10-13T13:53:12.057000,5.6,-11.159,-2.561,-34.268
1697205192097,2023-10-13T13:53:12.097000,5.64,31.463,-6.037,-44.817
1697205192137,2023-10-13T13:53:12.137000,5.68,61.768,4.085,-58.78
1697205192177,2023-10-13T13:53:12.177000,5.72,55.671,13.841,-66.402
1697205192217,2023-10-13T13:53:12.217000,5.76,47.439,29.085,-61.341
1697205192257,2023-10-13T13:53:12.257000,5.8,41.28,24.939,-51.524
1697205192297,2023-10-13T13:53:12.297000,5.84,32.988,17.317,-44.451
1697205192337,2023-10-13T13:53:12.337000,5.88,23.232,-0.915,-36.89
1697205192377,2023-10-13T13:53:12.377000,5.92,14.024,-2.256,-25.0
1697205192417,2023-10-13T13:53:12.417000,5.96,2.073,0.976,-12.134
1697205192457,2023-10-13T13:53:12.457000,6.0,-14.573,4.207,-11.524
1697205192497,2023-10-13T13:53:12.497000,6.04,-21.646,-6.89,-9.695
1697205192537,2023-10-13T13:53:12.537000,6.08,-31.768,-6.951,-5.549
1697205192577,2023-10-13T13:53:12.577000,6.12,-41.341,2.439,-3.963
1697205192617,2023-10-13T13:53:12.617000,6.16,-39.329,5.244,-0.915
1697205192657,2023-10-13T13:53:12.657000,6.2,-39.634,18.293,-0.061
1697205192697,2023-10-13T13:53:12.697000,6.24,-36.646,29.329,3.293
1697205192737,2023-10-13T13:53:12.737000,6.28,-13.598,7.927,20.671
1697205192777,2023-10-13T13:53:12.777000,6.32,4.451,-23.171,31.524
1697205192817,2023-10-13T13:53:12.817000,6.36,-5.854,-15.427,26.707
1697205192857,2023-10-13T13:53:12.857000,6.4,-13.049,-1.037,21.951
1697205192897,2023-10-13T13:53:12.897000,6.44,-9.146,0.854,31.585
1697205192937,2023-10-13T13:53:12.937000,6.48,-4.268,3.659,42.683
1697205192977,2023-10-13T13:53:12.977000,6.52,2.073,0.244,57.622
1697205193017,2023-10-13T13:53:13.017000,6.56,16.585,-10.183,66.707
1697205193057,2023-10-13T13:53:13.057000,6.6,8.841,-6.22,47.195
1697205193097,2023-10-13T13:53:13.097000,6.64,-6.585,3.841,16.707
1697205193137,2023-10-13T13:53:13.137000,6.68,-5.244,1.768,-0.061
1697205193177,2023-10-13T13:53:13.177000,6.72,4.573,-4.146,0.366
1697205193217,2023-10-13T13:53:13.217000,6.76,8.537,-7.439,-5.061
1697205193257,2023-10-13T13:53:13.257000,6.8,-1.768,3.841,-18.476
1697205193297,2023-10-13T13:53:13.297000,6.84,3.659,-8.841,-5.061
1697205193337,2023-10-13T13:53:13.337000,6.88,0.122,-6.037,-4.085
1697205193377,2023-10-13T13:53:13.377000,6.92,0.122,-1.524,-7.317
1697205193417,2023-10-13T13:53:13.417000,6.96,6.28,-9.329,-17.256
1697205193457,2023-10-13T13:53:13.457000,7.0,7.866,-5.366,-15.915
1697205193497,2023-10-13T13:53:13.497000,7.04,9.146,-10.549,-18.963
1697205193537,2023-10-13T13:53:13.537000,7.08,-0.61,0.488,-30.305
1697205193577,2023-10-13T13:53:13.577000,7.12,5.061,-7.256,-35.244
1697205193617,2023-10-13T13:53:13.617000,7.16,20.61,-2.134,-35.915
1697205193657,2023-10-13T13:53:13.657000,7.2,29.329,3.232,-24.024
1697205193697,2023-10-13T13:53:13.697000,7.24,27.195,23.841,-29.817
1697205193737,2023-10-13T13:53:13.737000,7.28,31.829,14.512,-14.268
1697205193777,2023-10-13T13:53:13.777000,7.32,29.573,-7.195,2.866
1697205193817,2023-10-13T13:53:13.817000,7.36,17.744,-10.549,0.976
1697205193857,2023-10-13T13:53:13.857000,7.4,-3.171,-4.695,-9.817
1697205193897,2023-10-13T13:53:13.897000,7.44,-2.073,-11.037,-6.707
