epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697204986675,2023-10-13T13:49:46.675000,0.0,-11.098,14.817,0.305
1697204986715,2023-10-13T13:49:46.715000,0.04,-10.183,13.963,1.037
1697204986755,2023-10-13T13:49:46.755000,0.08,-10.732,-0.122,9.512
1697204986795,2023-10-13T13:49:46.795000,0.12,-21.524,-5.183,15.122
1697204986835,2023-10-13T13:49:46.835000,0.16,-33.232,0.732,14.268
1697204986875,2023-10-13T13:49:46.875000,0.2,-30.854,-1.463,22.561
1697204986915,2023-10-13T13:49:46.915000,0.24,-37.439,6.951,19.024
1697204986955,2023-10-13T13:49:46.955000,0.28,-32.622,4.146,23.293
1697204986995,2023-10-13T13:49:46.995000,0.32,-27.134,5.854,32.744
1697204987035,2023-10-13T13:49:47.035000,0.36,-23.963,16.28,41.585
1697204987075,2023-10-13T13:49:47.075000,0.4,-17.012,18.537,45.732
1697204987115,2023-10-13T13:49:47.115000,0.44,-6.463,11.28,44.146
1697204987155,2023-10-13T13:49:47.155000,0.48,10.976,2.561,36.585
1697204987195,2023-10-13T13:49:47.195000,0.52,23.354,-4.878,22.683
1697204987235,2023-10-13T13:49:47.235000,0.56,22.195,-10.915,15.0
1697204987275,2023-10-13T13:49:47.275000,0.6,15.244,-8.537,4.451
1697204987315,2023-10-13T13:49:47.315000,0.64,8.049,-3.72,-2.561
1697204987355,2023-10-13T13:49:47.355000,0.68,11.341,-6.341,-3.659
1697204987395,2023-10-13T13:49:47.395000,0.72,13.537,-7.073,-10.061
1697204987435,2023-10-13T13:49:47.435000,0.76,11.341,-4.207,-11.89
1697204987475,2023-10-13T13:49:47.475000,0.8,17.683,-8.72,-16.159
1697204987515,2023-10-13T13:49:47.515000,0.84,22.5,-8.963,-8.598
1697204987555,2023-10-13T13:49:47.555000,0.88,18.11,-14.085,-27.744
1697204987595,2023-10-13T13:49:47.595000,0.92,15.427,-2.622,-31.768
1697204987635,2023-10-13T13:49:47.635000,0.96,7.561,-0.671,-38.902
1697204987675,2023-10-13T13:49:47.675000,1.0,12.927,13.659,-34.695
1697204987715,2023-10-13T13:49:47.715000,1.04,10.366,1.89,-30.854
1697204987755,2023-10-13T13:49:47.755000,1.08,11.585,4.695,-23.354
1697204987795,2023-10-13T13:49:47.795000,1.12,17.439,9.207,-3.963
1697204987835,2023-10-13T13:49:47.835000,1.16,22.561,-6.89,6.159
1697204987875,2023-10-13T13:49:47.875000,1.2,8.232,-11.037,0.549
1697204987915,2023-10-13T13:49:47.915000,1.24,3.293,-4.268,-6.037
1697204987955,2023-10-13T13:49:47.955000,1.28,13.476,-6.89,9.39
1697204987995,2023-10-13T13:49:47.995000,1.32,17.134,-7.683,8.78
1697204988035,2023-10-13T13:49:48.035000,1.36,18.232,-6.585,15.488
1697204988075,2023-10-13T13:49:48.075000,1.4,15.244,-12.378,17.317
1697204988115,2023-10-13T13:49:48.115000,1.44,3.659,-15.671,1.768
1697204988155,2023-10-13T13:49:48.155000,1.48,-10.854,-8.171,-0.061
1697204988195,2023-10-13T13:49:48.195000,1.52,-10.488,-6.098,7.683
1697204988235,2023-10-13T13:49:48.235000,1.56,-13.354,-14.024,11.341
1697204988275,2023-10-13T13:49:48.275000,1.6,-21.341,-17.378,22.317
1697204988315,2023-10-13T13:49:48.315000,1.64,-29.39,-16.585,18.78
1697204988355,2023-10-13T13:49:48.355000,1.68,-27.927,-17.866,32.683
1697204988395,2023-10-13T13:49:48.395000,1.72,-33.72,-14.146,54.085
1697204988435,2023-10-13T13:49:48.435000,1.76,-44.756,-2.134,46.22
1697204988475,2023-10-13T13:49:48.475000,1.8,-28.293,-8.659,55.732
1697204988515,2023-10-13T13:49:48.515000,1.84,-18.293,-9.695,51.22
