epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697649939909,2023-10-18T17:25:39.909000,0.0,0.951,0.11,0.193
1697649939989,2023-10-18T17:25:39.989000,0.08,0.971,0.105,0.196
1697649940069,2023-10-18T17:25:40.069000,0.16,0.954,0.081,0.196
1697649940149,2023-10-18T17:25:40.149000,0.24,0.988,0.067,0.233
1697649940229,2023-10-18T17:25:40.229000,0.32,0.971,0.085,0.242
1697649940309,2023-10-18T17:25:40.309000,0.4,0.922,0.076,0.211
1697649940389,2023-10-18T17:25:40.389000,0.48,0.708,0.02,0.217
1697649940469,2023-10-18T17:25:40.469000,0.56,0.49,-0.111,0.253
1697649940549,2023-10-18T17:25:40.549000,0.64,0.757,-0.384,0.199
1697649940629,2023-10-18T17:25:40.629000,0.72,0.772,-0.671,0.257
1697649940709,2023-10-18T17:25:40.709000,0.8,0.706,-1.015,0.5
1697649940789,2023-10-18T17:25:40.789000,0.88,0.53,-1.185,0.565
1697649940869,2023-10-18T17:25:40.869000,0.96,0.377,-1.134,0.558
1697649940949,2023-10-18T17:25:40.949000,1.04,0.363,-1.005,0.494
1697649941029,2023-10-18T17:25:41.029000,1.12,0.363,-0.88,0.479
1697649941109,2023-10-18T17:25:41.109000,1.2,0.305,-0.811,0.487
1697649941189,2023-10-18T17:25:41.189000,1.28,0.229,-0.869,0.489
1697649941269,2023-10-18T17:25:41.269000,1.36,0.167,-0.839,0.53
1697649941349,2023-10-18T17:25:41.349000,1.44,0.16,-0.701,0.541
1697649941429,2023-10-18T17:25:41.429000,1.52,0.162,-0.823,0.561
1697649941509,2023-10-18T17:25:41.509000,1.6,0.167,-0.936,0.52
1697649941589,2023-10-18T17:25:41.589000,1.68,0.196,-0.86,0.453
1697649941669,2023-10-18T17:25:41.669000,1.76,0.248,-0.789,0.411
1697649941749,2023-10-18T17:25:41.749000,1.84,0.266,-0.811,0.43
1697649941829,2023-10-18T17:25:41.829000,1.92,0.268,-0.867,0.464
1697649941909,2023-10-18T17:25:41.909000,2.0,0.264,-1.07,0.524
1697649941989,2023-10-18T17:25:41.989000,2.08,0.249,-1.055,0.432
1697649942069,2023-10-18T17:25:42.069000,2.16,0.301,-0.975,0.385
1697649942149,2023-10-18T17:25:42.149000,2.24,0.292,-0.891,0.348
1697649942229,2023-10-18T17:25:42.229000,2.32,0.289,-0.892,0.311
1697649942309,2023-10-18T17:25:42.309000,2.4,0.286,-1.011,0.289
1697649942389,2023-10-18T17:25:42.389000,2.48,0.324,-0.945,0.278
1697649942469,2023-10-18T17:25:42.469000,2.56,0.309,-0.898,0.273
1697649942549,2023-10-18T17:25:42.549000,2.64,0.268,-0.887,0.265
1697649942629,2023-10-18T17:25:42.629000,2.72,0.262,-0.884,0.269
1697649942709,2023-10-18T17:25:42.709000,2.8,0.301,-0.898,0.284
1697649942789,2023-10-18T17:25:42.789000,2.88,0.338,-0.948,0.342
1697649942869,2023-10-18T17:25:42.869000,2.96,0.319,-0.982,0.406
1697649942949,2023-10-18T17:25:42.949000,3.04,0.254,-0.981,0.4
