epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697563539578,2023-10-17T17:25:39.578000,0.0,-1.585,0.854,0.244
1697563539618,2023-10-17T17:25:39.618000,0.04,-1.22,1.098,0.0
1697563539658,2023-10-17T17:25:39.658000,0.08,-1.402,0.366,0.549
1697563539698,2023-10-17T17:25:39.698000,0.12,-1.159,-2.317,0.671
1697563539738,2023-10-17T17:25:39.738000,0.16,-1.159,0.427,0.549
1697563539778,2023-10-17T17:25:39.778000,0.2,-1.585,2.256,0.732
1697563539818,2023-10-17T17:25:39.818000,0.24,-2.927,1.768,2.439
1697563539858,2023-10-17T17:25:39.858000,0.28,-3.049,-0.122,3.78
1697563539898,2023-10-17T17:25:39.898000,0.32,-1.037,1.768,3.354
1697563539938,2023-10-17T17:25:39.938000,0.36,-0.488,3.841,2.439
1697563539978,2023-10-17T17:25:39.978000,0.4,-0.122,-0.244,3.598
1697563540018,2023-10-17T17:25:40.018000,0.44,0.061,-1.037,6.159
1697563540058,2023-10-17T17:25:40.058000,0.48,0.122,-2.805,6.829
1697563540098,2023-10-17T17:25:40.098000,0.52,1.098,0.793,6.28
1697563540138,2023-10-17T17:25:40.138000,0.56,3.232,9.817,6.89
1697563540178,2023-10-17T17:25:40.178000,0.6,4.329,9.085,7.988
1697563540218,2023-10-17T17:25:40.218000,0.64,4.817,3.415,8.171
1697563540258,2023-10-17T17:25:40.258000,0.68,5.915,7.012,9.939
1697563540298,2023-10-17T17:25:40.298000,0.72,6.829,12.073,16.524
1697563540338,2023-10-17T17:25:40.338000,0.76,8.476,22.378,32.012
1697563540378,2023-10-17T17:25:40.378000,0.8,11.402,-2.012,59.329
1697563540418,2023-10-17T17:25:40.418000,0.84,17.439,-1.28,105.122
1697563540458,2023-10-17T17:25:40.458000,0.88,13.78,43.415,154.329
1697563540498,2023-10-17T17:25:40.498000,0.92,-2.805,66.28,191.098
1697563540538,2023-10-17T17:25:40.538000,0.96,-19.634,72.256,212.195
1697563540578,2023-10-17T17:25:40.578000,1.0,-37.561,98.476,215.488
