epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697563539908,2023-10-17T17:25:39.908000,0.0,0.951,0.11,0.193
1697563539988,2023-10-17T17:25:39.988000,0.08,0.971,0.105,0.196
1697563540068,2023-10-17T17:25:40.068000,0.16,0.954,0.081,0.196
1697563540148,2023-10-17T17:25:40.148000,0.24,0.988,0.067,0.233
1697563540228,2023-10-17T17:25:40.228000,0.32,0.971,0.085,0.242
1697563540308,2023-10-17T17:25:40.308000,0.4,0.922,0.076,0.211
1697563540388,2023-10-17T17:25:40.388000,0.48,0.708,0.02,0.217
1697563540468,2023-10-17T17:25:40.468000,0.56,0.49,-0.111,0.253
1697563540548,2023-10-17T17:25:40.548000,0.64,0.757,-0.384,0.199
1697563540628,2023-10-17T17:25:40.628000,0.72,0.772,-0.671,0.257
1697563540708,2023-10-17T17:25:40.708000,0.8,0.706,-1.015,0.5
1697563540788,2023-10-17T17:25:40.788000,0.88,0.53,-1.185,0.565
1697563540868,2023-10-17T17:25:40.868000,0.96,0.377,-1.134,0.558
1697563540948,2023-10-17T17:25:40.948000,1.04,0.363,-1.005,0.494
1697563541028,2023-10-17T17:25:41.028000,1.12,0.363,-0.88,0.479
1697563541108,2023-10-17T17:25:41.108000,1.2,0.305,-0.811,0.487
1697563541188,2023-10-17T17:25:41.188000,1.28,0.229,-0.869,0.489
1697563541268,2023-10-17T17:25:41.268000,1.36,0.167,-0.839,0.53
1697563541348,2023-10-17T17:25:41.348000,1.44,0.16,-0.701,0.541
1697563541428,2023-10-17T17:25:41.428000,1.52,0.162,-0.823,0.561
1697563541508,2023-10-17T17:25:41.508000,1.6,0.167,-0.936,0.52
1697563541588,2023-10-17T17:25:41.588000,1.68,0.196,-0.86,0.453
1697563541668,2023-10-17T17:25:41.668000,1.76,0.248,-0.789,0.411
1697563541748,2023-10-17T17:25:41.748000,1.84,0.266,-0.811,0.43
1697563541828,2023-10-17T17:25:41.828000,1.92,0.268,-0.867,0.464
1697563541908,2023-10-17T17:25:41.908000,2.0,0.264,-1.07,0.524
1697563541988,2023-10-17T17:25:41.988000,2.08,0.249,-1.055,0.432
1697563542068,2023-10-17T17:25:42.068000,2.16,0.301,-0.975,0.385
1697563542148,2023-10-17T17:25:42.148000,2.24,0.292,-0.891,0.348
1697563542228,2023-10-17T17:25:42.228000,2.32,0.289,-0.892,0.311
1697563542308,2023-10-17T17:25:42.308000,2.4,0.286,-1.011,0.289
1697563542388,2023-10-17T17:25:42.388000,2.48,0.324,-0.945,0.278
1697563542468,2023-10-17T17:25:42.468000,2.56,0.309,-0.898,0.273
1697563542548,2023-10-17T17:25:42.548000,2.64,0.268,-0.887,0.265
1697563542628,2023-10-17T17:25:42.628000,2.72,0.262,-0.884,0.269
1697563542708,2023-10-17T17:25:42.708000,2.8,0.301,-0.898,0.284
1697563542788,2023-10-17T17:25:42.788000,2.88,0.338,-0.948,0.342
1697563542868,2023-10-17T17:25:42.868000,2.96,0.319,-0.982,0.406
1697563542948,2023-10-17T17:25:42.948000,3.04,0.254,-0.981,0.4
1697563543028,2023-10-17T17:25:43.028000,3.12,0.293,-0.981,0.391
1697563543108,2023-10-17T17:25:43.108000,3.2,0.358,-1.034,0.379
1697563543188,2023-10-17T17:25:43.188000,3.28,0.384,-1.028,0.371
1697563543268,2023-10-17T17:25:43.268000,3.36,0.39,-0.913,0.429
1697563543348,2023-10-17T17:25:43.348000,3.44,0.189,-1.01,0.436
1697563543428,2023-10-17T17:25:43.428000,3.52,0.112,-0.905,0.419
1697563543508,2023-10-17T17:25:43.508000,3.6,0.115,-0.863,0.478
1697563543588,2023-10-17T17:25:43.588000,3.68,0.03,-0.795,0.542
1697563543668,2023-10-17T17:25:43.668000,3.76,0.033,-0.622,0.495
1697563543748,2023-10-17T17:25:43.748000,3.84,0.123,-0.733,0.424
1697563543828,2023-10-17T17:25:43.828000,3.92,0.23,-0.898,0.445
1697563543908,2023-10-17T17:25:43.908000,4.0,0.243,-0.9,0.469
1697563543988,2023-10-17T17:25:43.988000,4.08,0.229,-0.87,0.482
1697563544068,2023-10-17T17:25:44.068000,4.16,0.256,-0.996,0.489
1697563544148,2023-10-17T17:25:44.148000,4.24,0.299,-1.1,0.592
1697563544228,2023-10-17T17:25:44.228000,4.32,0.249,-0.969,0.548
1697563544308,2023-10-17T17:25:44.308000,4.4,0.21,-0.938,0.504
1697563544388,2023-10-17T17:25:44.388000,4.48,0.202,-0.98,0.379
1697563544468,2023-10-17T17:25:44.468000,4.56,0.277,-1.032,0.342
1697563544548,2023-10-17T17:25:44.548000,4.64,0.274,-0.941,0.254
1697563544628,2023-10-17T17:25:44.628000,4.72,0.263,-0.885,0.231
1697563544708,2023-10-17T17:25:44.708000,4.8,0.241,-0.867,0.238
1697563544788,2023-10-17T17:25:44.788000,4.88,0.222,-0.849,0.237
1697563544868,2023-10-17T17:25:44.868000,4.96,0.254,-0.864,0.3
1697563544948,2023-10-17T17:25:44.948000,5.04,0.263,-0.958,0.405
1697563545028,2023-10-17T17:25:45.028000,5.12,0.247,-1.135,0.475
1697563545108,2023-10-17T17:25:45.108000,5.2,0.278,-1.074,0.516
1697563545188,2023-10-17T17:25:45.188000,5.28,0.255,-1.009,0.495
1697563545268,2023-10-17T17:25:45.268000,5.36,0.213,-0.909,0.417
1697563545348,2023-10-17T17:25:45.348000,5.44,0.274,-0.859,0.392
1697563545428,2023-10-17T17:25:45.428000,5.52,0.092,-0.814,0.416
1697563545508,2023-10-17T17:25:45.508000,5.6,0.158,-0.83,0.483
1697563545588,2023-10-17T17:25:45.588000,5.68,0.124,-0.905,0.542
1697563545668,2023-10-17T17:25:45.668000,5.76,0.052,-0.849,0.495
1697563545748,2023-10-17T17:25:45.748000,5.84,0.125,-0.821,0.48
1697563545828,2023-10-17T17:25:45.828000,5.92,0.192,-0.809,0.485
1697563545908,2023-10-17T17:25:45.908000,6.0,0.212,-0.873,0.487
1697563545988,2023-10-17T17:25:45.988000,6.08,0.213,-0.947,0.5
1697563546068,2023-10-17T17:25:46.068000,6.16,0.226,-0.951,0.465
1697563546148,2023-10-17T17:25:46.148000,6.24,0.281,-0.935,0.458
1697563546228,2023-10-17T17:25:46.228000,6.32,0.311,-0.887,0.421
1697563546308,2023-10-17T17:25:46.308000,6.4,0.303,-0.897,0.396
1697563546388,2023-10-17T17:25:46.388000,6.48,0.265,-0.969,0.396
1697563546468,2023-10-17T17:25:46.468000,6.56,0.244,-0.985,0.33
1697563546548,2023-10-17T17:25:46.548000,6.64,0.279,-0.927,0.27
1697563546628,2023-10-17T17:25:46.628000,6.72,0.309,-0.92,0.274
1697563546708,2023-10-17T17:25:46.708000,6.8,0.279,-0.949,0.261
1697563546788,2023-10-17T17:25:46.788000,6.88,0.284,-0.922,0.243
1697563546868,2023-10-17T17:25:46.868000,6.96,0.335,-0.887,0.283
1697563546948,2023-10-17T17:25:46.948000,7.04,0.339,-0.922,0.333
1697563547028,2023-10-17T17:25:47.028000,7.12,0.325,-0.979,0.382
1697563547108,2023-10-17T17:25:47.108000,7.2,0.343,-1.01,0.413
1697563547188,2023-10-17T17:25:47.188000,7.28,0.35,-0.991,0.438
1697563547268,2023-10-17T17:25:47.268000,7.36,0.332,-1.03,0.437
1697563547348,2023-10-17T17:25:47.348000,7.44,0.289,-1.028,0.412
1697563547428,2023-10-17T17:25:47.428000,7.52,0.255,-0.874,0.452
1697563547508,2023-10-17T17:25:47.508000,7.6,0.125,-0.908,0.44
1697563547588,2023-10-17T17:25:47.588000,7.68,0.135,-0.957,0.399
1697563547668,2023-10-17T17:25:47.668000,7.76,0.159,-0.923,0.399
1697563547748,2023-10-17T17:25:47.748000,7.84,0.079,-0.898,0.436
1697563547828,2023-10-17T17:25:47.828000,7.92,0.044,-0.702,0.379
1697563547908,2023-10-17T17:25:47.908000,8.0,0.163,-0.68,0.395
1697563547988,2023-10-17T17:25:47.988000,8.08,0.222,-0.873,0.42
1697563548068,2023-10-17T17:25:48.068000,8.16,0.283,-0.991,0.528
1697563548148,2023-10-17T17:25:48.148000,8.24,0.205,-0.952,0.554
1697563548228,2023-10-17T17:25:48.228000,8.32,0.174,-0.871,0.505
1697563548308,2023-10-17T17:25:48.308000,8.4,0.284,-0.837,0.597
1697563548388,2023-10-17T17:25:48.388000,8.48,0.227,-0.933,0.662
1697563548468,2023-10-17T17:25:48.468000,8.56,0.169,-0.977,0.591
1697563548548,2023-10-17T17:25:48.548000,8.64,0.203,-1.012,0.501
1697563548628,2023-10-17T17:25:48.628000,8.72,0.217,-1.036,0.46
1697563548708,2023-10-17T17:25:48.708000,8.8,0.206,-0.834,0.301
1697563548788,2023-10-17T17:25:48.788000,8.88,0.25,-0.801,0.301
1697563548868,2023-10-17T17:25:48.868000,8.96,0.262,-0.791,0.274
1697563548948,2023-10-17T17:25:48.948000,9.04,0.285,-0.868,0.283
