epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697649939579,2023-10-18T17:25:39.579000,0.0,-1.585,0.854,0.244
1697649939619,2023-10-18T17:25:39.619000,0.04,-1.22,1.098,0.0
1697649939659,2023-10-18T17:25:39.659000,0.08,-1.402,0.366,0.549
1697649939699,2023-10-18T17:25:39.699000,0.12,-1.159,-2.317,0.671
1697649939739,2023-10-18T17:25:39.739000,0.16,-1.159,0.427,0.549
1697649939779,2023-10-18T17:25:39.779000,0.2,-1.585,2.256,0.732
1697649939819,2023-10-18T17:25:39.819000,0.24,-2.927,1.768,2.439
1697649939859,2023-10-18T17:25:39.859000,0.28,-3.049,-0.122,3.78
1697649939899,2023-10-18T17:25:39.899000,0.32,-1.037,1.768,3.354
1697649939939,2023-10-18T17:25:39.939000,0.36,-0.488,3.841,2.439
1697649939979,2023-10-18T17:25:39.979000,0.4,-0.122,-0.244,3.598
1697649940019,2023-10-18T17:25:40.019000,0.44,0.061,-1.037,6.159
1697649940059,2023-10-18T17:25:40.059000,0.48,0.122,-2.805,6.829
1697649940099,2023-10-18T17:25:40.099000,0.52,1.098,0.793,6.28
1697649940139,2023-10-18T17:25:40.139000,0.56,3.232,9.817,6.89
1697649940179,2023-10-18T17:25:40.179000,0.6,4.329,9.085,7.988
1697649940219,2023-10-18T17:25:40.219000,0.64,4.817,3.415,8.171
1697649940259,2023-10-18T17:25:40.259000,0.68,5.915,7.012,9.939
1697649940299,2023-10-18T17:25:40.299000,0.72,6.829,12.073,16.524
1697649940339,2023-10-18T17:25:40.339000,0.76,8.476,22.378,32.012
1697649940379,2023-10-18T17:25:40.379000,0.8,11.402,-2.012,59.329
1697649940419,2023-10-18T17:25:40.419000,0.84,17.439,-1.28,105.122
1697649940459,2023-10-18T17:25:40.459000,0.88,13.78,43.415,154.329
1697649940499,2023-10-18T17:25:40.499000,0.92,-2.805,66.28,191.098
1697649940539,2023-10-18T17:25:40.539000,0.96,-19.634,72.256,212.195
1697649940579,2023-10-18T17:25:40.579000,1.0,-37.561,98.476,215.488
1697649940619,2023-10-18T17:25:40.619000,1.04,-49.512,124.024,211.402
1697649940659,2023-10-18T17:25:40.659000,1.08,-52.683,114.207,206.707
1697649940699,2023-10-18T17:25:40.699000,1.12,-54.085,73.78,190.0
1697649940739,2023-10-18T17:25:40.739000,1.16,-49.085,58.232,159.939
1697649940779,2023-10-18T17:25:40.779000,1.2,-37.927,59.39,124.817
1697649940819,2023-10-18T17:25:40.819000,1.24,-23.354,18.72,85.427
1697649940859,2023-10-18T17:25:40.859000,1.28,-7.683,-44.878,47.683
1697649940899,2023-10-18T17:25:40.899000,1.32,7.927,-69.146,21.28
1697649940939,2023-10-18T17:25:40.939000,1.36,23.354,-59.146,8.415
1697649940979,2023-10-18T17:25:40.979000,1.4,32.256,-58.902,-1.585
1697649941019,2023-10-18T17:25:41.019000,1.44,36.159,-57.012,-10.732
1697649941059,2023-10-18T17:25:41.059000,1.48,39.451,-41.341,-19.39
1697649941099,2023-10-18T17:25:41.099000,1.52,34.695,-32.317,-26.89
1697649941139,2023-10-18T17:25:41.139000,1.56,25.671,-18.354,-26.037
1697649941179,2023-10-18T17:25:41.179000,1.6,15.671,-2.683,-21.951
1697649941219,2023-10-18T17:25:41.219000,1.64,2.622,-1.098,-23.293
1697649941259,2023-10-18T17:25:41.259000,1.68,-11.159,9.634,-22.439
1697649941299,2023-10-18T17:25:41.299000,1.72,-20.854,36.159,-14.268
1697649941339,2023-10-18T17:25:41.339000,1.76,-26.159,49.39,-3.476
1697649941379,2023-10-18T17:25:41.379000,1.8,-26.159,48.902,4.146
1697649941419,2023-10-18T17:25:41.419000,1.84,-21.768,41.829,5.305
1697649941459,2023-10-18T17:25:41.459000,1.88,-19.329,26.768,-1.28
1697649941499,2023-10-18T17:25:41.499000,1.92,-17.561,16.89,-11.463
1697649941539,2023-10-18T17:25:41.539000,1.96,-18.963,12.805,-18.72
1697649941579,2023-10-18T17:25:41.579000,2.0,-23.659,16.585,-21.646
1697649941619,2023-10-18T17:25:41.619000,2.04,-27.439,27.012,-19.939
1697649941659,2023-10-18T17:25:41.659000,2.08,-30.976,33.598,-16.402
1697649941699,2023-10-18T17:25:41.699000,2.12,-31.037,36.159,-14.634
1697649941739,2023-10-18T17:25:41.739000,2.16,-30.488,29.39,-15.854
1697649941779,2023-10-18T17:25:41.779000,2.2,-30.183,28.72,-17.317
1697649941819,2023-10-18T17:25:41.819000,2.24,-28.476,39.817,-16.098
1697649941859,2023-10-18T17:25:41.859000,2.28,-22.378,45.793,-12.195
1697649941899,2023-10-18T17:25:41.899000,2.32,-6.463,22.317,-16.463
1697649941939,2023-10-18T17:25:41.939000,2.36,3.841,-3.537,-33.11
1697649941979,2023-10-18T17:25:41.979000,2.4,7.317,1.829,-48.11
1697649942019,2023-10-18T17:25:42.019000,2.44,9.634,16.768,-52.317
1697649942059,2023-10-18T17:25:42.059000,2.48,10.549,23.11,-54.024
1697649942099,2023-10-18T17:25:42.099000,2.52,10.671,27.317,-55.0
1697649942139,2023-10-18T17:25:42.139000,2.56,7.744,38.049,-51.098
1697649942179,2023-10-18T17:25:42.179000,2.6,4.024,54.695,-38.171
1697649942219,2023-10-18T17:25:42.219000,2.64,8.171,51.707,-19.573
1697649942259,2023-10-18T17:25:42.259000,2.68,12.744,26.463,-4.878
1697649942299,2023-10-18T17:25:42.299000,2.72,12.073,12.012,-0.305
1697649942339,2023-10-18T17:25:42.339000,2.76,10.671,14.695,-0.061
1697649942379,2023-10-18T17:25:42.379000,2.8,11.463,14.146,-4.817
1697649942419,2023-10-18T17:25:42.419000,2.84,11.89,3.415,-13.537
1697649942459,2023-10-18T17:25:42.459000,2.88,10.854,-6.524,-17.744
1697649942499,2023-10-18T17:25:42.499000,2.92,7.683,-13.598,-12.561
1697649942539,2023-10-18T17:25:42.539000,2.96,2.866,-22.622,0.427
1697649942579,2023-10-18T17:25:42.579000,3.0,-2.195,-35.61,15.854
1697649942619,2023-10-18T17:25:42.619000,3.04,-8.72,-47.012,29.512
1697649942659,2023-10-18T17:25:42.659000,3.08,-16.829,-46.707,40.915
1697649942699,2023-10-18T17:25:42.699000,3.12,-24.512,-38.293,50.61
1697649942739,2023-10-18T17:25:42.739000,3.16,-29.451,-27.683,55.976
1697649942779,2023-10-18T17:25:42.779000,3.2,-30.183,-16.463,56.951
1697649942819,2023-10-18T17:25:42.819000,3.24,-25.671,-10.549,55.793
1697649942859,2023-10-18T17:25:42.859000,3.28,-17.012,-24.817,53.293
1697649942899,2023-10-18T17:25:42.899000,3.32,-7.683,-56.341,52.622
1697649942939,2023-10-18T17:25:42.939000,3.36,1.524,-81.646,56.707
1697649942979,2023-10-18T17:25:42.979000,3.4,9.451,-93.476,63.598
1697649943019,2023-10-18T17:25:43.019000,3.44,13.902,-100.488,69.512
1697649943059,2023-10-18T17:25:43.059000,3.48,15.488,-102.805,73.171
1697649943099,2023-10-18T17:25:43.099000,3.52,18.476,-103.659,72.012
1697649943139,2023-10-18T17:25:43.139000,3.56,22.561,-106.951,56.89
1697649943179,2023-10-18T17:25:43.179000,3.6,22.805,-84.024,28.598
1697649943219,2023-10-18T17:25:43.219000,3.64,22.561,-27.012,5.305
1697649943259,2023-10-18T17:25:43.259000,3.68,33.78,3.902,-0.976
1697649943299,2023-10-18T17:25:43.299000,3.72,54.512,-33.049,-0.061
1697649943339,2023-10-18T17:25:43.339000,3.76,70.366,-109.939,-7.5
1697649943379,2023-10-18T17:25:43.379000,3.8,83.902,-134.878,-23.841
1697649943419,2023-10-18T17:25:43.419000,3.84,89.268,-114.939,-38.72
1697649943459,2023-10-18T17:25:43.459000,3.88,77.988,-84.695,-45.0
1697649943499,2023-10-18T17:25:43.499000,3.92,61.707,-49.085,-38.049
1697649943539,2023-10-18T17:25:43.539000,3.96,44.329,-29.451,-21.585
1697649943579,2023-10-18T17:25:43.579000,4.0,25.549,-22.073,-1.829
1697649943619,2023-10-18T17:25:43.619000,4.04,9.939,-13.598,21.829
1697649943659,2023-10-18T17:25:43.659000,4.08,-2.5,-16.951,46.585
1697649943699,2023-10-18T17:25:43.699000,4.12,-15.976,-28.659,65.427
1697649943739,2023-10-18T17:25:43.739000,4.16,-28.11,-27.256,73.841
