epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697292246332,2023-10-14T14:04:06.332000,0.0,1.402,-6.28,1.585
1697292246372,2023-10-14T14:04:06.372000,0.04,1.341,-5.427,0.915
1697292246412,2023-10-14T14:04:06.412000,0.08,-1.28,0.671,-1.829
1697292246452,2023-10-14T14:04:06.452000,0.12,-1.829,0.366,-0.549
1697292246492,2023-10-14T14:04:06.492000,0.16,-1.951,-2.683,1.829
1697292246532,2023-10-14T14:04:06.532000,0.2,-2.195,0.549,-1.037
1697292246572,2023-10-14T14:04:06.572000,0.24,7.378,-3.537,-0.183
1697292246612,2023-10-14T14:04:06.612000,0.28,9.451,-6.28,-0.061
1697292246652,2023-10-14T14:04:06.652000,0.32,5.122,-0.549,-1.402
1697292246692,2023-10-14T14:04:06.692000,0.36,7.866,-8.354,6.159
1697292246732,2023-10-14T14:04:06.732000,0.4,1.89,-6.951,6.341
1697292246772,2023-10-14T14:04:06.772000,0.44,1.89,2.988,0.366
1697292246812,2023-10-14T14:04:06.812000,0.48,13.232,-3.354,6.341
1697292246852,2023-10-14T14:04:06.852000,0.52,13.963,-4.39,3.72
1697292246892,2023-10-14T14:04:06.892000,0.56,9.146,0.183,4.39
1697292246932,2023-10-14T14:04:06.932000,0.6,15.915,-7.683,6.402
1697292246972,2023-10-14T14:04:06.972000,0.64,15.122,-3.841,2.378
1697292247012,2023-10-14T14:04:07.012000,0.68,16.707,-7.561,3.902
1697292247052,2023-10-14T14:04:07.052000,0.72,24.878,-14.756,4.329
1697292247092,2023-10-14T14:04:07.092000,0.76,30.854,-12.622,-5.793
1697292247132,2023-10-14T14:04:07.132000,0.8,34.207,0.244,-14.024
1697292247172,2023-10-14T14:04:07.172000,0.84,29.817,-5.183,-15.488
1697292247212,2023-10-14T14:04:07.212000,0.88,24.39,-7.317,-15.671
1697292247252,2023-10-14T14:04:07.252000,0.92,20.549,-0.854,-15.0
1697292247292,2023-10-14T14:04:07.292000,0.96,17.195,-0.976,-20.122
1697292247332,2023-10-14T14:04:07.332000,1.0,20.549,-1.463,-16.829
1697292247372,2023-10-14T14:04:07.372000,1.04,26.829,-8.415,-10.0
1697292247412,2023-10-14T14:04:07.412000,1.08,20.488,0.488,-7.805
1697292247452,2023-10-14T14:04:07.452000,1.12,20.915,-3.293,-6.646
1697292247492,2023-10-14T14:04:07.492000,1.16,22.927,-5.0,1.463
1697292247532,2023-10-14T14:04:07.532000,1.2,18.537,-5.427,8.598
1697292247572,2023-10-14T14:04:07.572000,1.24,12.5,-4.756,13.415
1697292247612,2023-10-14T14:04:07.612000,1.28,5.244,-3.78,19.024
1697292247652,2023-10-14T14:04:07.652000,1.32,-8.415,-2.805,13.659
1697292247692,2023-10-14T14:04:07.692000,1.36,-14.268,-1.951,7.012
1697292247732,2023-10-14T14:04:07.732000,1.4,-15.854,-2.439,-3.049
1697292247772,2023-10-14T14:04:07.772000,1.44,-17.988,-3.171,-7.256
1697292247812,2023-10-14T14:04:07.812000,1.48,-20.915,1.28,-2.439
1697292247852,2023-10-14T14:04:07.852000,1.52,-22.622,3.902,-3.78
1697292247892,2023-10-14T14:04:07.892000,1.56,-27.866,3.78,-1.768
1697292247932,2023-10-14T14:04:07.932000,1.6,-24.329,5.854,-0.244
1697292247972,2023-10-14T14:04:07.972000,1.64,-22.134,6.768,2.866
1697292248012,2023-10-14T14:04:08.012000,1.68,-20.427,3.963,9.329
1697292248052,2023-10-14T14:04:08.052000,1.72,-18.963,-0.793,13.11
1697292248092,2023-10-14T14:04:08.092000,1.76,-18.11,1.22,14.512
1697292248132,2023-10-14T14:04:08.132000,1.8,-17.134,1.098,13.72
1697292248172,2023-10-14T14:04:08.172000,1.84,-18.476,4.146,13.11
1697292248212,2023-10-14T14:04:08.212000,1.88,-14.451,-2.744,16.159
1697292248252,2023-10-14T14:04:08.252000,1.92,-7.256,-2.805,15.915
1697292248292,2023-10-14T14:04:08.292000,1.96,-4.451,4.146,11.768
1697292248332,2023-10-14T14:04:08.332000,2.0,4.451,0.61,3.11
1697292248372,2023-10-14T14:04:08.372000,2.04,6.646,2.378,2.256
1697292248412,2023-10-14T14:04:08.412000,2.08,11.037,-4.146,-0.549
1697292248452,2023-10-14T14:04:08.452000,2.12,15.366,-2.866,-4.939
1697292248492,2023-10-14T14:04:08.492000,2.16,19.268,-3.963,-7.073
1697292248532,2023-10-14T14:04:08.532000,2.2,21.28,-1.402,-7.439
1697292248572,2023-10-14T14:04:08.572000,2.24,25.671,-2.744,-11.646
