epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697292410863,2023-10-14T14:06:50.863000,0.0,0.095,-1.018,-0.03
1697292410943,2023-10-14T14:06:50.943000,0.08,0.089,-1.053,0.004
1697292411023,2023-10-14T14:06:51.023000,0.16,0.102,-1.103,-0.041
1697292411103,2023-10-14T14:06:51.103000,0.24,0.105,-1.126,-0.022
1697292411183,2023-10-14T14:06:51.183000,0.32,0.103,-1.176,-0.059
1697292411263,2023-10-14T14:06:51.263000,0.4,0.102,-1.236,-0.062
1697292411343,2023-10-14T14:06:51.343000,0.48,0.099,-1.351,-0.083
1697292411423,2023-10-14T14:06:51.423000,0.56,0.106,-1.385,-0.066
1697292411503,2023-10-14T14:06:51.503000,0.64,0.122,-1.335,-0.011
1697292411583,2023-10-14T14:06:51.583000,0.72,0.136,-1.245,0.032
1697292411663,2023-10-14T14:06:51.663000,0.8,0.125,-1.098,0.145
1697292411743,2023-10-14T14:06:51.743000,0.88,0.113,-0.939,0.165
1697292411823,2023-10-14T14:06:51.823000,0.96,0.12,-0.753,0.166
1697292411903,2023-10-14T14:06:51.903000,1.04,0.057,-0.481,0.232
1697292411983,2023-10-14T14:06:51.983000,1.12,0.044,-0.364,0.251
1697292412063,2023-10-14T14:06:52.063000,1.2,0.046,-0.542,0.162
1697292412143,2023-10-14T14:06:52.143000,1.28,0.116,-0.834,0.122
1697292412223,2023-10-14T14:06:52.223000,1.36,0.13,-1.016,0.198
1697292412303,2023-10-14T14:06:52.303000,1.44,0.139,-1.064,0.088
1697292412383,2023-10-14T14:06:52.383000,1.52,0.138,-1.113,0.074
1697292412463,2023-10-14T14:06:52.463000,1.6,0.107,-1.13,0.03
1697292412543,2023-10-14T14:06:52.543000,1.68,0.085,-1.182,-0.01
1697292412623,2023-10-14T14:06:52.623000,1.76,0.074,-1.246,-0.028
1697292412703,2023-10-14T14:06:52.703000,1.84,0.034,-1.345,-0.045
1697292412783,2023-10-14T14:06:52.783000,1.92,0.047,-1.359,-0.045
1697292412863,2023-10-14T14:06:52.863000,2.0,0.065,-1.354,-0.023
1697292412943,2023-10-14T14:06:52.943000,2.08,0.085,-1.281,0.037
1697292413023,2023-10-14T14:06:53.023000,2.16,0.108,-1.194,0.098
1697292413103,2023-10-14T14:06:53.103000,2.24,0.125,-1.068,0.125
1697292413183,2023-10-14T14:06:53.183000,2.32,0.121,-0.889,0.227
1697292413263,2023-10-14T14:06:53.263000,2.4,0.09,-0.733,0.27
1697292413343,2023-10-14T14:06:53.343000,2.48,0.085,-0.551,0.195
1697292413423,2023-10-14T14:06:53.423000,2.56,0.029,-0.392,0.278
1697292413503,2023-10-14T14:06:53.503000,2.64,0.07,-0.547,0.205
1697292413583,2023-10-14T14:06:53.583000,2.72,0.128,-0.889,0.204
1697292413663,2023-10-14T14:06:53.663000,2.8,0.147,-1.012,0.183
1697292413743,2023-10-14T14:06:53.743000,2.88,0.119,-1.104,0.167
1697292413823,2023-10-14T14:06:53.823000,2.96,0.111,-1.078,0.094
1697292413903,2023-10-14T14:06:53.903000,3.04,0.094,-1.12,0.054
1697292413983,2023-10-14T14:06:53.983000,3.12,0.047,-1.193,0.035
1697292414063,2023-10-14T14:06:54.063000,3.2,0.042,-1.266,0.044
1697292414143,2023-10-14T14:06:54.143000,3.28,0.039,-1.381,-0.025
1697292414223,2023-10-14T14:06:54.223000,3.36,0.041,-1.388,-0.045
1697292414303,2023-10-14T14:06:54.303000,3.44,0.065,-1.337,0.014
1697292414383,2023-10-14T14:06:54.383000,3.52,0.096,-1.259,0.071
1697292414463,2023-10-14T14:06:54.463000,3.6,0.11,-1.146,0.158
1697292414543,2023-10-14T14:06:54.543000,3.68,0.132,-0.997,0.22
1697292414623,2023-10-14T14:06:54.623000,3.76,0.137,-0.832,0.28
1697292414703,2023-10-14T14:06:54.703000,3.84,0.118,-0.641,0.193
1697292414783,2023-10-14T14:06:54.783000,3.92,0.033,-0.381,0.192
1697292414863,2023-10-14T14:06:54.863000,4.0,0.072,-0.412,0.318
1697292414943,2023-10-14T14:06:54.943000,4.08,0.071,-0.695,0.187
1697292415023,2023-10-14T14:06:55.023000,4.16,0.132,-0.962,0.206
1697292415103,2023-10-14T14:06:55.103000,4.24,0.137,-1.052,0.245
1697292415183,2023-10-14T14:06:55.183000,4.32,0.125,-1.115,0.179
1697292415263,2023-10-14T14:06:55.263000,4.4,0.085,-1.117,0.126
1697292415343,2023-10-14T14:06:55.343000,4.48,0.063,-1.145,0.104
1697292415423,2023-10-14T14:06:55.423000,4.56,0.054,-1.191,0.058
1697292415503,2023-10-14T14:06:55.503000,4.64,0.033,-1.259,0.027
1697292415583,2023-10-14T14:06:55.583000,4.72,0.03,-1.3,0.007
1697292415663,2023-10-14T14:06:55.663000,4.8,0.035,-1.32,0.002
1697292415743,2023-10-14T14:06:55.743000,4.88,0.057,-1.312,-0.003
1697292415823,2023-10-14T14:06:55.823000,4.96,0.071,-1.231,0.068
1697292415903,2023-10-14T14:06:55.903000,5.04,0.11,-1.157,0.171
1697292415983,2023-10-14T14:06:55.983000,5.12,0.131,-1.046,0.204
1697292416063,2023-10-14T14:06:56.063000,5.2,0.132,-0.91,0.267
1697292416143,2023-10-14T14:06:56.143000,5.28,0.125,-0.776,0.232
1697292416223,2023-10-14T14:06:56.223000,5.36,0.075,-0.56,0.189
1697292416303,2023-10-14T14:06:56.303000,5.44,0.057,-0.38,0.355
1697292416383,2023-10-14T14:06:56.383000,5.52,0.102,-0.573,0.255
1697292416463,2023-10-14T14:06:56.463000,5.6,0.132,-0.86,0.231
1697292416543,2023-10-14T14:06:56.543000,5.68,0.17,-1.017,0.237
1697292416623,2023-10-14T14:06:56.623000,5.76,0.161,-1.094,0.208
1697292416703,2023-10-14T14:06:56.703000,5.84,0.127,-1.118,0.25
1697292416783,2023-10-14T14:06:56.783000,5.92,0.118,-1.104,0.041
1697292416863,2023-10-14T14:06:56.863000,6.0,0.092,-1.111,0.054
1697292416943,2023-10-14T14:06:56.943000,6.08,0.074,-1.097,0.044
1697292417023,2023-10-14T14:06:57.023000,6.16,0.063,-1.056,0.025
1697292417103,2023-10-14T14:06:57.103000,6.24,0.071,-1.088,0.016
1697292417183,2023-10-14T14:06:57.183000,6.32,0.035,-1.119,-0.016
1697292417263,2023-10-14T14:06:57.263000,6.4,0.039,-1.184,-0.03
1697292417343,2023-10-14T14:06:57.343000,6.48,0.02,-1.234,-0.048
1697292417423,2023-10-14T14:06:57.423000,6.56,0.038,-1.27,-0.028
1697292417503,2023-10-14T14:06:57.503000,6.64,0.043,-1.272,0.02
1697292417583,2023-10-14T14:06:57.583000,6.72,0.083,-1.233,0.061
1697292417663,2023-10-14T14:06:57.663000,6.8,0.081,-1.146,0.159
1697292417743,2023-10-14T14:06:57.743000,6.88,0.198,-1.02,0.227
1697292417823,2023-10-14T14:06:57.823000,6.96,0.173,-0.895,0.282
1697292417903,2023-10-14T14:06:57.903000,7.04,0.157,-0.78,0.272
1697292417983,2023-10-14T14:06:57.983000,7.12,0.125,-0.555,0.208
1697292418063,2023-10-14T14:06:58.063000,7.2,0.059,-0.37,0.282
1697292418143,2023-10-14T14:06:58.143000,7.28,0.146,-0.569,0.293
1697292418223,2023-10-14T14:06:58.223000,7.36,0.181,-0.832,0.212
1697292418303,2023-10-14T14:06:58.303000,7.44,0.188,-0.946,0.285
1697292418383,2023-10-14T14:06:58.383000,7.52,0.166,-1.063,0.179
1697292418463,2023-10-14T14:06:58.463000,7.6,0.155,-1.146,0.138
1697292418543,2023-10-14T14:06:58.543000,7.68,0.098,-1.166,0.183
1697292418623,2023-10-14T14:06:58.623000,7.76,0.061,-1.229,0.058
1697292418703,2023-10-14T14:06:58.703000,7.84,0.051,-1.216,0.034
1697292418783,2023-10-14T14:06:58.783000,7.92,0.029,-1.167,-0.017
1697292418863,2023-10-14T14:06:58.863000,8.0,0.028,-1.1,-0.047
