epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697292410466,2023-10-14T14:06:50.466000,0.0,-52.988,-15.793,-12.439
1697292410506,2023-10-14T14:06:50.506000,0.04,-51.951,-17.012,-12.012
1697292410546,2023-10-14T14:06:50.546000,0.08,-47.988,-17.134,-10.244
1697292410586,2023-10-14T14:06:50.586000,0.12,-39.756,-15.854,-6.463
1697292410626,2023-10-14T14:06:50.626000,0.16,-28.354,-14.695,-7.195
1697292410666,2023-10-14T14:06:50.666000,0.2,-24.878,-6.22,-13.11
1697292410706,2023-10-14T14:06:50.706000,0.24,-20.0,-10.427,-6.585
1697292410746,2023-10-14T14:06:50.746000,0.28,-15.122,-4.939,-7.866
1697292410786,2023-10-14T14:06:50.786000,0.32,-10.793,-3.354,-3.11
1697292410826,2023-10-14T14:06:50.826000,0.36,-0.61,-8.171,-1.768
1697292410866,2023-10-14T14:06:50.866000,0.4,-2.134,-2.805,-1.585
1697292410906,2023-10-14T14:06:50.906000,0.44,-3.841,1.28,-2.988
1697292410946,2023-10-14T14:06:50.946000,0.48,0.61,-0.244,0.915
1697292410986,2023-10-14T14:06:50.986000,0.52,8.78,-4.878,4.024
1697292411026,2023-10-14T14:06:51.026000,0.56,9.268,-3.537,5.793
1697292411066,2023-10-14T14:06:51.066000,0.6,3.415,0.366,5.671
1697292411106,2023-10-14T14:06:51.106000,0.64,6.341,-1.524,5.671
1697292411146,2023-10-14T14:06:51.146000,0.68,8.841,1.341,7.683
1697292411186,2023-10-14T14:06:51.186000,0.72,10.122,-0.244,6.585
1697292411226,2023-10-14T14:06:51.226000,0.76,9.146,-3.354,7.988
1697292411266,2023-10-14T14:06:51.266000,0.8,7.195,-4.085,3.659
1697292411306,2023-10-14T14:06:51.306000,0.84,9.817,-9.634,2.683
1697292411346,2023-10-14T14:06:51.346000,0.88,11.28,-11.524,-1.768
1697292411386,2023-10-14T14:06:51.386000,0.92,12.439,-8.293,-7.073
1697292411426,2023-10-14T14:06:51.426000,0.96,18.415,-8.476,-9.451
1697292411466,2023-10-14T14:06:51.466000,1.0,18.476,-7.256,-11.646
1697292411506,2023-10-14T14:06:51.506000,1.04,20.183,-7.439,-11.28
1697292411546,2023-10-14T14:06:51.546000,1.08,22.012,-8.72,-11.524
1697292411586,2023-10-14T14:06:51.586000,1.12,24.146,-14.268,-5.244
1697292411626,2023-10-14T14:06:51.626000,1.16,23.902,-5.061,-10.549
1697292411666,2023-10-14T14:06:51.666000,1.2,19.878,-8.598,-14.024
1697292411706,2023-10-14T14:06:51.706000,1.24,22.927,-8.171,-7.317
1697292411746,2023-10-14T14:06:51.746000,1.28,26.829,-7.256,-0.671
1697292411786,2023-10-14T14:06:51.786000,1.32,25.0,-13.171,8.902
1697292411826,2023-10-14T14:06:51.826000,1.36,19.878,-9.146,11.463
1697292411866,2023-10-14T14:06:51.866000,1.4,12.988,-6.463,12.866
1697292411906,2023-10-14T14:06:51.906000,1.44,2.805,4.085,15.183
1697292411946,2023-10-14T14:06:51.946000,1.48,-2.317,1.829,17.622
1697292411986,2023-10-14T14:06:51.986000,1.52,-1.585,-3.232,1.037
1697292412026,2023-10-14T14:06:52.026000,1.56,-14.573,7.805,-7.073
1697292412066,2023-10-14T14:06:52.066000,1.6,-11.098,1.951,-10.549
1697292412106,2023-10-14T14:06:52.106000,1.64,-11.463,-3.171,-4.756
1697292412146,2023-10-14T14:06:52.146000,1.68,-17.866,4.756,-1.159
1697292412186,2023-10-14T14:06:52.186000,1.72,-22.744,7.195,0.244
1697292412226,2023-10-14T14:06:52.226000,1.76,-26.707,10.244,-0.793
1697292412266,2023-10-14T14:06:52.266000,1.8,-28.598,9.024,1.22
1697292412306,2023-10-14T14:06:52.306000,1.84,-30.915,10.671,4.39
1697292412346,2023-10-14T14:06:52.346000,1.88,-19.634,6.768,7.805
1697292412386,2023-10-14T14:06:52.386000,1.92,-22.683,9.085,19.39
1697292412426,2023-10-14T14:06:52.426000,1.96,-14.146,6.768,6.341
1697292412466,2023-10-14T14:06:52.466000,2.0,-18.659,2.073,16.098
1697292412506,2023-10-14T14:06:52.506000,2.04,-4.817,-9.146,13.171
1697292412546,2023-10-14T14:06:52.546000,2.08,-7.927,4.024,10.244
1697292412586,2023-10-14T14:06:52.586000,2.12,-7.988,2.012,15.305
1697292412626,2023-10-14T14:06:52.626000,2.16,-1.707,0.427,8.11
1697292412666,2023-10-14T14:06:52.666000,2.2,3.537,-1.646,7.561
1697292412706,2023-10-14T14:06:52.706000,2.24,10.488,-9.817,3.293
1697292412746,2023-10-14T14:06:52.746000,2.28,10.0,-7.012,0.305
1697292412786,2023-10-14T14:06:52.786000,2.32,16.951,-9.024,-6.28
1697292412826,2023-10-14T14:06:52.826000,2.36,21.037,-6.829,-8.11
1697292412866,2023-10-14T14:06:52.866000,2.4,29.634,-14.695,-11.951
1697292412906,2023-10-14T14:06:52.906000,2.44,26.463,-6.098,-13.72
1697292412946,2023-10-14T14:06:52.946000,2.48,29.085,-5.061,-15.122
1697292412986,2023-10-14T14:06:52.986000,2.52,31.341,-6.524,-16.89
1697292413026,2023-10-14T14:06:53.026000,2.56,32.805,-5.61,-20.549
1697292413066,2023-10-14T14:06:53.066000,2.6,37.561,-17.012,-9.207
1697292413106,2023-10-14T14:06:53.106000,2.64,38.354,-20.366,-7.134
1697292413146,2023-10-14T14:06:53.146000,2.68,34.695,-19.634,-0.244
1697292413186,2023-10-14T14:06:53.186000,2.72,24.329,-8.354,-4.756
1697292413226,2023-10-14T14:06:53.226000,2.76,9.817,-3.72,-7.317
1697292413266,2023-10-14T14:06:53.266000,2.8,9.39,-15.305,4.085
1697292413306,2023-10-14T14:06:53.306000,2.84,12.439,-16.89,13.963
1697292413346,2023-10-14T14:06:53.346000,2.88,7.439,2.134,18.232
1697292413386,2023-10-14T14:06:53.386000,2.92,-4.573,-2.012,10.854
1697292413426,2023-10-14T14:06:53.426000,2.96,-9.146,5.488,-5.854
1697292413466,2023-10-14T14:06:53.466000,3.0,-17.561,22.805,-14.024
1697292413506,2023-10-14T14:06:53.506000,3.04,-21.22,10.122,0.488
1697292413546,2023-10-14T14:06:53.546000,3.08,-21.402,2.256,-2.134
1697292413586,2023-10-14T14:06:53.586000,3.12,-24.085,13.049,2.805
1697292413626,2023-10-14T14:06:53.626000,3.16,-25.671,7.866,4.634
1697292413666,2023-10-14T14:06:53.666000,3.2,-26.829,4.024,9.573
1697292413706,2023-10-14T14:06:53.706000,3.24,-26.463,7.073,7.256
1697292413746,2023-10-14T14:06:53.746000,3.28,-28.171,6.463,7.683
1697292413786,2023-10-14T14:06:53.786000,3.32,-25.0,-2.805,13.659
1697292413826,2023-10-14T14:06:53.826000,3.36,-25.549,7.317,14.39
1697292413866,2023-10-14T14:06:53.866000,3.4,-13.415,-3.841,22.988
1697292413906,2023-10-14T14:06:53.906000,3.44,-13.354,-1.829,12.5
1697292413946,2023-10-14T14:06:53.946000,3.48,-10.244,6.159,13.902
1697292413986,2023-10-14T14:06:53.986000,3.52,3.293,-0.976,7.927
1697292414026,2023-10-14T14:06:54.026000,3.56,-6.768,10.671,6.098
1697292414066,2023-10-14T14:06:54.066000,3.6,-8.354,12.561,0.671
1697292414106,2023-10-14T14:06:54.106000,3.64,1.402,1.22,1.22
1697292414146,2023-10-14T14:06:54.146000,3.68,5.793,-3.415,-1.646
1697292414186,2023-10-14T14:06:54.186000,3.72,12.988,-3.902,-6.768
1697292414226,2023-10-14T14:06:54.226000,3.76,20.0,-8.537,-10.732
1697292414266,2023-10-14T14:06:54.266000,3.8,20.854,-4.329,-15.061
1697292414306,2023-10-14T14:06:54.306000,3.84,29.573,-5.61,-13.78
1697292414346,2023-10-14T14:06:54.346000,3.88,29.268,-7.134,-18.11
1697292414386,2023-10-14T14:06:54.386000,3.92,33.537,-15.549,-15.244
1697292414426,2023-10-14T14:06:54.426000,3.96,35.793,-12.622,-21.585
1697292414466,2023-10-14T14:06:54.466000,4.0,39.146,-14.695,-18.049
1697292414506,2023-10-14T14:06:54.506000,4.04,40.427,-21.28,-11.646
1697292414546,2023-10-14T14:06:54.546000,4.08,29.329,-12.866,-13.171
1697292414586,2023-10-14T14:06:54.586000,4.12,23.598,-9.329,-17.866
1697292414626,2023-10-14T14:06:54.626000,4.16,28.293,-19.695,4.634
1697292414666,2023-10-14T14:06:54.666000,4.2,26.646,-9.085,11.951
1697292414706,2023-10-14T14:06:54.706000,4.24,16.159,0.488,10.976
1697292414746,2023-10-14T14:06:54.746000,4.28,-3.78,6.037,9.878
1697292414786,2023-10-14T14:06:54.786000,4.32,-6.768,-4.817,10.793
1697292414826,2023-10-14T14:06:54.826000,4.36,-5.244,-0.305,5.427
1697292414866,2023-10-14T14:06:54.866000,4.4,-3.354,5.122,8.476
1697292414906,2023-10-14T14:06:54.906000,4.44,-17.195,2.195,2.256
1697292414946,2023-10-14T14:06:54.946000,4.48,-25.732,13.78,-4.695
1697292414986,2023-10-14T14:06:54.986000,4.52,-26.951,4.756,1.463
1697292415026,2023-10-14T14:06:55.026000,4.56,-27.439,3.476,3.659
1697292415066,2023-10-14T14:06:55.066000,4.6,-30.488,5.732,1.951
1697292415106,2023-10-14T14:06:55.106000,4.64,-30.061,4.817,11.402
1697292415146,2023-10-14T14:06:55.146000,4.68,-31.951,5.671,12.195
1697292415186,2023-10-14T14:06:55.186000,4.72,-25.671,3.354,16.28
1697292415226,2023-10-14T14:06:55.226000,4.76,-30.183,6.646,15.244
1697292415266,2023-10-14T14:06:55.266000,4.8,-17.683,-8.476,20.793
1697292415306,2023-10-14T14:06:55.306000,4.84,-16.341,4.695,17.744
1697292415346,2023-10-14T14:06:55.346000,4.88,-14.634,2.073,7.683
1697292415386,2023-10-14T14:06:55.386000,4.92,-3.72,-7.744,21.951
1697292415426,2023-10-14T14:06:55.426000,4.96,-12.805,14.451,2.073
1697292415466,2023-10-14T14:06:55.466000,5.0,-4.146,4.451,4.146
1697292415506,2023-10-14T14:06:55.506000,5.04,0.793,1.829,6.159
1697292415546,2023-10-14T14:06:55.546000,5.08,-1.098,4.939,-0.854
1697292415586,2023-10-14T14:06:55.586000,5.12,4.573,-4.268,-1.951
1697292415626,2023-10-14T14:06:55.626000,5.16,6.829,0.366,-5.915
1697292415666,2023-10-14T14:06:55.666000,5.2,16.89,-7.317,-10.671
1697292415706,2023-10-14T14:06:55.706000,5.24,21.707,-9.573,-8.659
1697292415746,2023-10-14T14:06:55.746000,5.28,29.451,-5.915,-12.866
1697292415786,2023-10-14T14:06:55.786000,5.32,29.817,-9.634,-12.378
1697292415826,2023-10-14T14:06:55.826000,5.36,28.902,-12.805,-17.439
1697292415866,2023-10-14T14:06:55.866000,5.4,34.024,-13.72,-18.049
1697292415906,2023-10-14T14:06:55.906000,5.44,33.293,-13.293,-18.11
1697292415946,2023-10-14T14:06:55.946000,5.48,34.268,-16.829,-15.061
1697292415986,2023-10-14T14:06:55.986000,5.52,34.512,-18.963,-13.11
1697292416026,2023-10-14T14:06:56.026000,5.56,33.049,-13.11,-12.866
1697292416066,2023-10-14T14:06:56.066000,5.6,24.085,4.817,-8.354
1697292416106,2023-10-14T14:06:56.106000,5.64,21.341,-2.439,-6.463
1697292416146,2023-10-14T14:06:56.146000,5.68,24.146,-11.402,-2.744
1697292416186,2023-10-14T14:06:56.186000,5.72,18.72,-7.256,1.28
1697292416226,2023-10-14T14:06:56.226000,5.76,6.037,-0.854,6.463
1697292416266,2023-10-14T14:06:56.266000,5.8,-5.183,-10.976,-0.793
1697292416306,2023-10-14T14:06:56.306000,5.84,-6.22,-10.915,2.439
1697292416346,2023-10-14T14:06:56.346000,5.88,-15.244,0.305,0.122
1697292416386,2023-10-14T14:06:56.386000,5.92,-19.512,0.854,3.476
1697292416426,2023-10-14T14:06:56.426000,5.96,-27.805,8.659,-5.427
1697292416466,2023-10-14T14:06:56.466000,6.0,-28.049,8.78,2.866
1697292416506,2023-10-14T14:06:56.506000,6.04,-28.963,3.415,8.049
1697292416546,2023-10-14T14:06:56.546000,6.08,-29.512,3.78,9.085
1697292416586,2023-10-14T14:06:56.586000,6.12,-24.939,8.963,14.451
1697292416626,2023-10-14T14:06:56.626000,6.16,-24.695,4.512,19.756
1697292416666,2023-10-14T14:06:56.666000,6.2,-35.244,14.878,4.207
1697292416706,2023-10-14T14:06:56.706000,6.24,-34.085,9.756,9.817
1697292416746,2023-10-14T14:06:56.746000,6.28,-25.0,4.268,12.012
1697292416786,2023-10-14T14:06:56.786000,6.32,-25.183,7.317,15.061
1697292416826,2023-10-14T14:06:56.826000,6.36,-17.622,-1.037,8.841
1697292416866,2023-10-14T14:06:56.866000,6.4,-22.927,8.841,11.341
1697292416906,2023-10-14T14:06:56.906000,6.44,-15.183,-3.354,5.671
1697292416946,2023-10-14T14:06:56.946000,6.48,-8.963,-5.61,12.622
1697292416986,2023-10-14T14:06:56.986000,6.52,-7.622,-1.585,8.476
1697292417026,2023-10-14T14:06:57.026000,6.56,-15.61,10.427,5.854
1697292417066,2023-10-14T14:06:57.066000,6.6,-6.829,-6.037,6.037
1697292417106,2023-10-14T14:06:57.106000,6.64,-4.329,-4.573,10.793
1697292417146,2023-10-14T14:06:57.146000,6.68,-0.488,-4.573,4.329
1697292417186,2023-10-14T14:06:57.186000,6.72,-2.073,1.707,5.671
1697292417226,2023-10-14T14:06:57.226000,6.76,3.232,-6.098,9.878
1697292417266,2023-10-14T14:06:57.266000,6.8,9.695,-6.829,2.622
1697292417306,2023-10-14T14:06:57.306000,6.84,9.939,-2.378,0.244
1697292417346,2023-10-14T14:06:57.346000,6.88,12.866,-3.171,-0.488
1697292417386,2023-10-14T14:06:57.386000,6.92,16.707,-6.524,-2.195
1697292417426,2023-10-14T14:06:57.426000,6.96,19.634,-6.159,-10.488
1697292417466,2023-10-14T14:06:57.466000,7.0,27.988,-15.366,-13.476
1697292417506,2023-10-14T14:06:57.506000,7.04,29.695,-15.671,-15.183
1697292417546,2023-10-14T14:06:57.546000,7.08,35.183,-11.89,-18.354
1697292417586,2023-10-14T14:06:57.586000,7.12,41.646,-14.329,-20.915
1697292417626,2023-10-14T14:06:57.626000,7.16,39.817,-20.366,-34.329
