epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697650492982,2023-10-18T17:34:52.982000,0.0,0.011,-1.02,-0.068
1697650493062,2023-10-18T17:34:53.062000,0.08,0.008,-1.039,-0.059
1697650493142,2023-10-18T17:34:53.142000,0.16,-0.001,-1.03,-0.06
1697650493222,2023-10-18T17:34:53.222000,0.24,0.008,-1.022,-0.052
1697650493302,2023-10-18T17:34:53.302000,0.32,0.002,-1.024,-0.043
1697650493382,2023-10-18T17:34:53.382000,0.4,-0.004,-1.021,-0.049
1697650493462,2023-10-18T17:34:53.462000,0.48,-0.0,-1.035,-0.074
1697650493542,2023-10-18T17:34:53.542000,0.56,0.017,-1.06,-0.075
1697650493622,2023-10-18T17:34:53.622000,0.64,-0.01,-1.014,-0.066
1697650493702,2023-10-18T17:34:53.702000,0.72,-0.007,-1.054,-0.072
1697650493782,2023-10-18T17:34:53.782000,0.8,-0.004,-1.048,-0.055
1697650493862,2023-10-18T17:34:53.862000,0.88,-0.004,-1.005,-0.037
1697650493942,2023-10-18T17:34:53.942000,0.96,-0.008,-1.022,-0.082
1697650494022,2023-10-18T17:34:54.022000,1.04,-0.002,-0.982,-0.051
1697650494102,2023-10-18T17:34:54.102000,1.12,0.011,-0.962,-0.03
1697650494182,2023-10-18T17:34:54.182000,1.2,0.0,-1.005,-0.039
1697650494262,2023-10-18T17:34:54.262000,1.28,-0.0,-1.049,-0.068
1697650494342,2023-10-18T17:34:54.342000,1.36,0.0,-1.09,-0.083
1697650494422,2023-10-18T17:34:54.422000,1.44,-0.027,-1.166,-0.11
1697650494502,2023-10-18T17:34:54.502000,1.52,-0.029,-1.301,-0.103
1697650494582,2023-10-18T17:34:54.582000,1.6,0.007,-1.409,-0.041
1697650494662,2023-10-18T17:34:54.662000,1.68,0.054,-1.354,0.014
1697650494742,2023-10-18T17:34:54.742000,1.76,0.111,-1.228,0.127
1697650494822,2023-10-18T17:34:54.822000,1.84,0.124,-1.032,0.17
1697650494902,2023-10-18T17:34:54.902000,1.92,0.117,-0.807,0.152
1697650494982,2023-10-18T17:34:54.982000,2.0,0.028,-0.514,0.186
1697650495062,2023-10-18T17:34:55.062000,2.08,-0.023,-0.257,0.205
1697650495142,2023-10-18T17:34:55.142000,2.16,0.04,-0.417,0.194
1697650495222,2023-10-18T17:34:55.222000,2.24,0.088,-0.772,0.125
1697650495302,2023-10-18T17:34:55.302000,2.32,0.154,-1.059,0.137
1697650495382,2023-10-18T17:34:55.382000,2.4,0.101,-1.15,0.101
1697650495462,2023-10-18T17:34:55.462000,2.48,0.079,-1.159,-0.005
1697650495542,2023-10-18T17:34:55.542000,2.56,0.05,-1.194,0.007
1697650495622,2023-10-18T17:34:55.622000,2.64,0.027,-1.254,-0.086
1697650495702,2023-10-18T17:34:55.702000,2.72,0.001,-1.266,-0.078
1697650495782,2023-10-18T17:34:55.782000,2.8,-0.016,-1.11,-0.131
1697650495862,2023-10-18T17:34:55.862000,2.88,0.002,-1.01,-0.034
1697650495942,2023-10-18T17:34:55.942000,2.96,-0.008,-0.943,-0.022
1697650496022,2023-10-18T17:34:56.022000,3.04,-0.025,-0.975,-0.033
1697650496102,2023-10-18T17:34:56.102000,3.12,0.014,-1.054,-0.051
1697650496182,2023-10-18T17:34:56.182000,3.2,-0.015,-1.14,-0.084
1697650496262,2023-10-18T17:34:56.262000,3.28,-0.032,-1.243,-0.069
1697650496342,2023-10-18T17:34:56.342000,3.36,-0.018,-1.304,-0.12
1697650496422,2023-10-18T17:34:56.422000,3.44,-0.003,-1.357,-0.07
1697650496502,2023-10-18T17:34:56.502000,3.52,0.076,-1.315,0.036
1697650496582,2023-10-18T17:34:56.582000,3.6,0.137,-1.175,0.075
1697650496662,2023-10-18T17:34:56.662000,3.68,0.109,-0.943,0.163
1697650496742,2023-10-18T17:34:56.742000,3.76,0.062,-0.705,0.184
1697650496822,2023-10-18T17:34:56.822000,3.84,-0.01,-0.335,0.161
1697650496902,2023-10-18T17:34:56.902000,3.92,0.037,-0.315,0.302
1697650496982,2023-10-18T17:34:56.982000,4.0,0.063,-0.617,0.077
1697650497062,2023-10-18T17:34:57.062000,4.08,0.085,-0.957,0.102
1697650497142,2023-10-18T17:34:57.142000,4.16,0.056,-1.058,0.116
1697650497222,2023-10-18T17:34:57.222000,4.24,0.055,-1.134,0.068
1697650497302,2023-10-18T17:34:57.302000,4.32,0.046,-1.2,0.008
1697650497382,2023-10-18T17:34:57.382000,4.4,0.015,-1.225,0.003
1697650497462,2023-10-18T17:34:57.462000,4.48,-0.021,-1.302,-0.129
1697650497542,2023-10-18T17:34:57.542000,4.56,-0.057,-1.247,-0.1
1697650497622,2023-10-18T17:34:57.622000,4.64,-0.028,-1.102,-0.056
1697650497702,2023-10-18T17:34:57.702000,4.72,-0.019,-0.987,-0.046
1697650497782,2023-10-18T17:34:57.782000,4.8,-0.016,-0.914,-0.022
1697650497862,2023-10-18T17:34:57.862000,4.88,-0.02,-0.928,0.0
1697650497942,2023-10-18T17:34:57.942000,4.96,-0.026,-1.021,-0.036
1697650498022,2023-10-18T17:34:58.022000,5.04,-0.028,-1.11,-0.09
1697650498102,2023-10-18T17:34:58.102000,5.12,-0.036,-1.217,-0.003
