epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697563988086,2023-10-17T17:33:08.086000,0.0,1.646,-0.671,4.329
1697563988126,2023-10-17T17:33:08.126000,0.04,1.646,-1.951,4.207
1697563988166,2023-10-17T17:33:08.166000,0.08,1.402,0.732,1.89
1697563988206,2023-10-17T17:33:08.206000,0.12,2.195,0.183,0.549
1697563988246,2023-10-17T17:33:08.246000,0.16,4.39,-5.427,1.829
1697563988286,2023-10-17T17:33:08.286000,0.2,-2.134,1.768,-0.122
1697563988326,2023-10-17T17:33:08.326000,0.24,3.902,-6.402,-2.256
1697563988366,2023-10-17T17:33:08.366000,0.28,0.549,-2.683,0.793
1697563988406,2023-10-17T17:33:08.406000,0.32,-2.988,3.537,0.122
1697563988446,2023-10-17T17:33:08.446000,0.36,-0.793,0.427,-0.244
1697563988486,2023-10-17T17:33:08.486000,0.4,0.122,-3.354,0.0
1697563988526,2023-10-17T17:33:08.526000,0.44,-1.037,0.488,-3.415
1697563988566,2023-10-17T17:33:08.566000,0.48,-2.195,1.585,-1.951
1697563988606,2023-10-17T17:33:08.606000,0.52,1.768,0.732,-2.195
1697563988646,2023-10-17T17:33:08.646000,0.56,1.829,2.683,-2.134
1697563988686,2023-10-17T17:33:08.686000,0.6,2.073,-2.866,-0.427
1697563988726,2023-10-17T17:33:08.726000,0.64,-1.768,-0.976,0.61
1697563988766,2023-10-17T17:33:08.766000,0.68,-1.829,-0.244,-0.183
1697563988806,2023-10-17T17:33:08.806000,0.72,-1.646,-7.866,1.463
1697563988846,2023-10-17T17:33:08.846000,0.76,-0.915,-7.012,4.024
1697563988886,2023-10-17T17:33:08.886000,0.8,1.341,-3.537,2.317
1697563988926,2023-10-17T17:33:08.926000,0.84,3.354,-2.439,2.5
1697563988966,2023-10-17T17:33:08.966000,0.88,4.024,-3.293,0.549
1697563989006,2023-10-17T17:33:09.006000,0.92,1.524,-1.89,1.585
1697563989046,2023-10-17T17:33:09.046000,0.96,2.805,-0.427,1.159
1697563989086,2023-10-17T17:33:09.086000,1.0,1.341,-1.89,0.915
1697563989126,2023-10-17T17:33:09.126000,1.04,2.317,-4.695,2.805
1697563989166,2023-10-17T17:33:09.166000,1.08,1.829,-2.317,3.476
1697563989206,2023-10-17T17:33:09.206000,1.12,0.0,0.488,0.671
1697563989246,2023-10-17T17:33:09.246000,1.16,1.22,-3.537,2.317
1697563989286,2023-10-17T17:33:09.286000,1.2,1.341,-4.207,3.415
1697563989326,2023-10-17T17:33:09.326000,1.24,1.037,-1.098,1.22
1697563989366,2023-10-17T17:33:09.366000,1.28,3.11,-2.622,0.427
1697563989406,2023-10-17T17:33:09.406000,1.32,2.744,1.646,-0.366
1697563989446,2023-10-17T17:33:09.446000,1.36,-3.171,13.537,1.28
1697563989486,2023-10-17T17:33:09.486000,1.4,-1.524,13.902,2.195
1697563989526,2023-10-17T17:33:09.526000,1.44,6.159,-2.805,0.122
1697563989566,2023-10-17T17:33:09.566000,1.48,3.415,-4.756,0.122
1697563989606,2023-10-17T17:33:09.606000,1.52,0.427,8.171,2.561
1697563989646,2023-10-17T17:33:09.646000,1.56,7.744,7.561,3.11
1697563989686,2023-10-17T17:33:09.686000,1.6,14.39,0.61,0.061
1697563989726,2023-10-17T17:33:09.726000,1.64,24.817,-11.768,-9.451
1697563989766,2023-10-17T17:33:09.766000,1.68,31.951,-24.878,-7.5
1697563989806,2023-10-17T17:33:09.806000,1.72,39.329,-30.122,-15.61
1697563989846,2023-10-17T17:33:09.846000,1.76,41.89,-20.061,-20.366
1697563989886,2023-10-17T17:33:09.886000,1.8,46.037,-19.329,-21.524
1697563989926,2023-10-17T17:33:09.926000,1.84,44.268,-20.122,-22.256
1697563989966,2023-10-17T17:33:09.966000,1.88,39.268,-11.768,-21.037
1697563990006,2023-10-17T17:33:10.006000,1.92,37.256,-10.244,-14.085
1697563990046,2023-10-17T17:33:10.046000,1.96,28.354,-8.11,-7.256
1697563990086,2023-10-17T17:33:10.086000,2.0,16.768,-2.683,-4.573
1697563990126,2023-10-17T17:33:10.126000,2.04,7.256,2.134,-2.195
1697563990166,2023-10-17T17:33:10.166000,2.08,2.317,-3.963,9.085
1697563990206,2023-10-17T17:33:10.206000,2.12,-4.146,-14.512,18.171
1697563990246,2023-10-17T17:33:10.246000,2.16,-8.476,-6.768,26.768
1697563990286,2023-10-17T17:33:10.286000,2.2,-10.61,3.171,1.098
1697563990326,2023-10-17T17:33:10.326000,2.24,-16.829,1.098,-16.524
1697563990366,2023-10-17T17:33:10.366000,2.28,-4.329,1.89,-0.366
1697563990406,2023-10-17T17:33:10.406000,2.32,1.402,-7.073,5.366
1697563990446,2023-10-17T17:33:10.446000,2.36,-18.537,1.768,-11.585
1697563990486,2023-10-17T17:33:10.486000,2.4,-23.293,0.183,-17.012
1697563990526,2023-10-17T17:33:10.526000,2.44,-21.829,4.695,1.951
1697563990566,2023-10-17T17:33:10.566000,2.48,-24.085,6.159,5.549
1697563990606,2023-10-17T17:33:10.606000,2.52,-31.22,11.22,7.317
1697563990646,2023-10-17T17:33:10.646000,2.56,-24.146,9.39,14.146
1697563990686,2023-10-17T17:33:10.686000,2.6,-30.427,8.963,19.451
1697563990726,2023-10-17T17:33:10.726000,2.64,-22.988,10.488,19.939
1697563990766,2023-10-17T17:33:10.766000,2.68,-26.22,12.744,26.646
1697563990806,2023-10-17T17:33:10.806000,2.72,-15.366,3.415,22.256
1697563990846,2023-10-17T17:33:10.846000,2.76,-19.451,11.89,10.366
1697563990886,2023-10-17T17:33:10.886000,2.8,-7.378,3.598,9.512
1697563990926,2023-10-17T17:33:10.926000,2.84,4.939,-6.646,1.037
1697563990966,2023-10-17T17:33:10.966000,2.88,-1.768,0.976,0.305
1697563991006,2023-10-17T17:33:11.006000,2.92,4.817,-8.293,-1.646
1697563991046,2023-10-17T17:33:11.046000,2.96,-1.585,1.524,0.976
1697563991086,2023-10-17T17:33:11.086000,3.0,3.476,-7.622,0.0
1697563991126,2023-10-17T17:33:11.126000,3.04,2.317,-10.976,6.585
1697563991166,2023-10-17T17:33:11.166000,3.08,2.927,-8.293,4.268
1697563991206,2023-10-17T17:33:11.206000,3.12,4.024,-5.671,6.707
1697563991246,2023-10-17T17:33:11.246000,3.16,8.659,-7.134,6.524
1697563991286,2023-10-17T17:33:11.286000,3.2,10.183,-5.793,2.195
1697563991326,2023-10-17T17:33:11.326000,3.24,16.159,-18.11,-3.415
1697563991366,2023-10-17T17:33:11.366000,3.28,13.049,-24.024,-4.512
1697563991406,2023-10-17T17:33:11.406000,3.32,18.232,-15.0,-13.598
1697563991446,2023-10-17T17:33:11.446000,3.36,26.098,-14.512,-19.024
1697563991486,2023-10-17T17:33:11.486000,3.4,31.28,-8.78,-16.951
1697563991526,2023-10-17T17:33:11.526000,3.44,35.976,1.646,-25.793
1697563991566,2023-10-17T17:33:11.566000,3.48,35.854,-3.11,-24.512
1697563991606,2023-10-17T17:33:11.606000,3.52,39.146,-9.756,-14.939
1697563991646,2023-10-17T17:33:11.646000,3.56,33.476,-11.646,-15.427
1697563991686,2023-10-17T17:33:11.686000,3.6,27.805,-12.866,-3.232
1697563991726,2023-10-17T17:33:11.726000,3.64,26.159,-18.049,18.415
1697563991766,2023-10-17T17:33:11.766000,3.68,18.049,-13.476,33.171
1697563991806,2023-10-17T17:33:11.806000,3.72,2.622,-4.939,33.354
1697563991846,2023-10-17T17:33:11.846000,3.76,-5.244,0.305,14.207
1697563991886,2023-10-17T17:33:11.886000,3.8,-8.476,3.415,-12.378
1697563991926,2023-10-17T17:33:11.926000,3.84,-8.049,2.927,-11.28
1697563991966,2023-10-17T17:33:11.966000,3.88,-2.622,2.317,-0.427
1697563992006,2023-10-17T17:33:12.006000,3.92,-14.207,9.024,-10.122
1697563992046,2023-10-17T17:33:12.046000,3.96,-28.841,18.598,-28.841
1697563992086,2023-10-17T17:33:12.086000,4.0,-39.817,26.463,-29.024
1697563992126,2023-10-17T17:33:12.126000,4.04,-36.402,11.646,-8.476
1697563992166,2023-10-17T17:33:12.166000,4.08,-34.878,10.854,8.293
1697563992206,2023-10-17T17:33:12.206000,4.12,-44.817,18.476,22.134
1697563992246,2023-10-17T17:33:12.246000,4.16,-34.695,1.951,22.683
1697563992286,2023-10-17T17:33:12.286000,4.2,-37.988,6.037,37.866
1697563992326,2023-10-17T17:33:12.326000,4.24,-30.122,5.61,25.061
1697563992366,2023-10-17T17:33:12.366000,4.28,-24.207,8.11,14.573
1697563992406,2023-10-17T17:33:12.406000,4.32,-8.537,4.817,7.5
1697563992446,2023-10-17T17:33:12.446000,4.36,-1.829,-2.195,1.585
1697563992486,2023-10-17T17:33:12.486000,4.4,4.451,-8.902,0.793
1697563992526,2023-10-17T17:33:12.526000,4.44,3.598,-5.061,-3.293
1697563992566,2023-10-17T17:33:12.566000,4.48,3.78,-10.671,-0.122
