epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1697310547087,2023-10-14T19:09:07.087000,0.0,4.451,-1.159,-0.061
1697310547127,2023-10-14T19:09:07.127000,0.04,3.902,-1.951,-1.22
1697310547167,2023-10-14T19:09:07.167000,0.08,-1.159,-1.585,-2.866
1697310547207,2023-10-14T19:09:07.207000,0.12,-5.732,-1.646,1.037
1697310547247,2023-10-14T19:09:07.247000,0.16,2.195,-4.024,0.061
1697310547287,2023-10-14T19:09:07.287000,0.2,13.476,-7.012,-1.707
1697310547327,2023-10-14T19:09:07.327000,0.24,11.89,-6.098,1.89
1697310547367,2023-10-14T19:09:07.367000,0.28,7.866,-4.695,1.524
1697310547407,2023-10-14T19:09:07.407000,0.32,2.744,-3.659,1.585
1697310547447,2023-10-14T19:09:07.447000,0.36,0.549,-2.439,0.305
1697310547487,2023-10-14T19:09:07.487000,0.4,0.671,-3.049,-0.183
1697310547527,2023-10-14T19:09:07.527000,0.44,-6.159,-3.11,1.22
1697310547567,2023-10-14T19:09:07.567000,0.48,-5.793,-2.561,2.439
1697310547607,2023-10-14T19:09:07.607000,0.52,0.549,-4.573,-0.488
1697310547647,2023-10-14T19:09:07.647000,0.56,-2.134,-5.793,-0.915
1697310547687,2023-10-14T19:09:07.687000,0.6,-10.61,-3.72,2.134
1697310547727,2023-10-14T19:09:07.727000,0.64,-11.28,-3.232,4.085
1697310547767,2023-10-14T19:09:07.767000,0.68,-7.378,-2.5,2.683
1697310547807,2023-10-14T19:09:07.807000,0.72,0.122,-7.195,2.073
1697310547847,2023-10-14T19:09:07.847000,0.76,2.683,-9.085,-1.341
1697310547887,2023-10-14T19:09:07.887000,0.8,-7.378,-0.366,1.22
1697310547927,2023-10-14T19:09:07.927000,0.84,-10.061,4.573,1.524
1697310547967,2023-10-14T19:09:07.967000,0.88,-4.573,-3.72,-2.256
1697310548007,2023-10-14T19:09:08.007000,0.92,-3.476,-9.39,-7.134
1697310548047,2023-10-14T19:09:08.047000,0.96,-8.598,-4.939,-3.476
1697310548087,2023-10-14T19:09:08.087000,1.0,-15.366,-1.707,0.0
1697310548127,2023-10-14T19:09:08.127000,1.04,-13.841,0.244,-2.561
1697310548167,2023-10-14T19:09:08.167000,1.08,-10.488,-0.488,-7.256
1697310548207,2023-10-14T19:09:08.207000,1.12,-10.305,-2.988,-6.707
1697310548247,2023-10-14T19:09:08.247000,1.16,-5.061,-10.732,-1.22
1697310548287,2023-10-14T19:09:08.287000,1.2,6.28,-5.549,-5.793
1697310548327,2023-10-14T19:09:08.327000,1.24,14.634,-7.134,-11.585
1697310548367,2023-10-14T19:09:08.367000,1.28,0.183,1.037,-5.549
1697310548407,2023-10-14T19:09:08.407000,1.32,-8.537,0.0,-0.854
1697310548447,2023-10-14T19:09:08.447000,1.36,-6.524,-0.183,-5.61
1697310548487,2023-10-14T19:09:08.487000,1.4,-2.805,-3.659,-5.854
1697310548527,2023-10-14T19:09:08.527000,1.44,-6.646,-1.707,-1.22
1697310548567,2023-10-14T19:09:08.567000,1.48,-8.232,-4.146,1.768
1697310548607,2023-10-14T19:09:08.607000,1.52,-6.524,-4.085,-1.037
1697310548647,2023-10-14T19:09:08.647000,1.56,-2.744,0.061,-6.159
1697310548687,2023-10-14T19:09:08.687000,1.6,0.671,0.488,-7.5
1697310548727,2023-10-14T19:09:08.727000,1.64,-4.878,-5.122,-1.463
1697310548767,2023-10-14T19:09:08.767000,1.68,-3.537,-12.195,1.098
1697310548807,2023-10-14T19:09:08.807000,1.72,4.329,-6.28,-2.073
